size,threads,time,speedup,efficiency
128x128,1,0.03305093333333334,1.0,1.0
128x128,2,0.030990916666666663,1.066471627439223,0.5332358137196115
128x128,3,0.030308006666666665,1.0905017178079017,0.3635005726026339
128x128,4,0.03107158,1.0637030152098264,0.2659257538024566
128x128,5,0.03471008666666667,0.9521996775961187,0.19043993551922372
128x128,6,0.03890864,0.8494497194796152,0.14157495324660255
128x128,7,0.039285023333333335,0.8413112817293309,0.12018732596133298
128x128,8,0.03939199333333333,0.8390266786871581,0.10487833483589476
128x128,9,0.04045343333333334,0.8170118234711022,0.09077909149678914
192x192,1,0.07341861666666666,1.0,1.0
192x192,2,0.06049935,1.2135438920693637,0.6067719460346819
192x192,3,0.05806199666666667,1.2644865984916465,0.4214955328305488
192x192,4,0.05651267000000001,1.2991532105396302,0.32478830263490754
192x192,5,0.05740603,1.2789356216875938,0.25578712433751877
192x192,6,0.06120673666666667,1.199518560620315,0.19991976010338583
192x192,7,0.06465538333333333,1.1355375667352268,0.16221965239074668
192x192,8,0.06502994,1.12899714603253,0.14112464325406626
192x192,9,0.06569791000000001,1.11751829954205,0.12416869994911667
256x256,1,0.1286873,1.0,1.0
256x256,2,0.10104093333333335,1.2736155116012386,0.6368077558006193
256x256,3,0.09462372333333334,1.3599898150981657,0.45332993836605523
256x256,4,0.09468166,1.3591576235566636,0.3397894058891659
256x256,5,0.09351277000000001,1.3761468086123423,0.2752293617224685
256x256,6,0.09438530666666667,1.363425140466779,0.22723752341112982
256x256,7,0.09648370666666667,1.3337723481602006,0.19053890688002867
256x256,8,0.09908803,1.29871690859128,0.16233961357391
256x256,9,0.10994433333333332,1.1704768776926506,0.1300529864102945
