serial,100000,1,0,0.009176923000268289,0.302,0.46548,0.23252
serial,100000,1,1,0.009004792998894118,0.30147,0.46564,0.23289
serial,100000,1,2,0.008939010000176495,0.30144,0.4647,0.23386
serial,100000,1,3,0.009044227001140825,0.30498,0.46385,0.23117
serial,100000,1,4,0.008928518000175245,0.30111,0.46736,0.23153
serial,100000,1,5,0.009120897000684636,0.30056,0.46726,0.23218
serial,200000,1,0,0.017311321998931817,0.301695,0.465665,0.23264
serial,200000,1,1,0.017301743999269092,0.301375,0.46541,0.233215
serial,200000,1,2,0.017024249998939922,0.30189,0.465085,0.233025
serial,200000,1,3,0.017208081000717357,0.30375,0.463625,0.232625
serial,200000,1,4,0.017091421001168783,0.300615,0.466715,0.23267
serial,200000,1,5,0.017009637000228395,0.301245,0.466695,0.23206
serial,400000,1,0,0.03309169199928874,0.30086,0.465915,0.233225
serial,400000,1,1,0.03064250399984303,0.301395,0.465195,0.23341
serial,400000,1,2,0.030993974000011804,0.301485,0.4657475,0.2327675
serial,400000,1,3,0.030101876000117045,0.30309,0.464405,0.232505
serial,400000,1,4,0.03149232599935203,0.3021225,0.465675,0.2322025
serial,400000,1,5,0.030693675000293297,0.3012225,0.46647,0.2323075
serial,800000,1,0,0.059240812001007725,0.30107,0.46631375,0.23261625
serial,800000,1,1,0.05962213500060898,0.3013975,0.4653925,0.23321
serial,800000,1,2,0.060807404999650316,0.3012175,0.46583625,0.23294625
serial,800000,1,3,0.0598804220007878,0.30225625,0.46527,0.23247375
serial,800000,1,4,0.05975618200136523,0.3024375,0.464685,0.2328775
serial,800000,1,5,0.059506038000108674,0.30105375,0.46675375,0.2321925
serial,1600000,1,0,0.11760151899943594,0.30163875,0.46586187,0.23249938
serial,1600000,1,1,0.11791121299938823,0.30176313,0.46549,0.23274687
serial,1600000,1,2,0.11780427200028498,0.30126125,0.46590312,0.23283562
serial,1600000,1,3,0.1182713349990081,0.30237313,0.46523437,0.2323925
serial,1600000,1,4,0.1184111769998708,0.3019275,0.4652475,0.232825
serial,1600000,1,5,0.11803562400018563,0.30151187,0.46643125,0.23205687
serial,3200000,1,0,0.2352064030001202,0.30182625,0.46569906,0.23247469
serial,3200000,1,1,0.2440737540000555,0.30158687,0.4656075,0.23280562
serial,3200000,1,2,0.23589630800051964,0.30151844,0.46562219,0.23285938
serial,3200000,1,3,0.2344455160000507,0.30206656,0.46527031,0.23266312
serial,3200000,1,4,0.2341219979989546,0.30180187,0.46548281,0.23271531
serial,3200000,1,5,0.23500563699963095,0.30167688,0.46609625,0.23222687
serial,6400000,1,0,0.47572036599922285,0.30204938,0.46543297,0.23251766
serial,6400000,1,1,0.4698960609985079,0.301685,0.46542125,0.23289375
serial,6400000,1,2,0.4686150120014645,0.30176859,0.46539141,0.23284
serial,6400000,1,3,0.4676281629999721,0.30211047,0.46508813,0.23280141
serial,6400000,1,4,0.4693100290005532,0.30174828,0.46542672,0.232825
serial,6400000,1,5,0.4685480059997644,0.30161547,0.46599016,0.23239437
serial,12800000,1,0,0.9407808999985718,0.30192562,0.46554656,0.23252781
serial,12800000,1,1,0.9516790180005046,0.30183656,0.46550508,0.23265836
serial,12800000,1,2,0.9317066789990349,0.3017432,0.46553648,0.23272031
serial,12800000,1,3,0.9398846130006859,0.30189086,0.46534031,0.23276883
serial,12800000,1,4,0.9322574800007715,0.30187336,0.46526352,0.23286313
serial,12800000,1,5,0.9382009269993432,0.30173078,0.46581195,0.23245727
serial,25600000,1,0,1.9471151850011665,0.3018273,0.46553957,0.23263312
serial,25600000,1,1,1.8916635289988335,0.30196785,0.46531168,0.23272047
serial,25600000,1,2,1.8790265429997817,0.3016991,0.46567355,0.23262734
serial,25600000,1,3,1.8829714200001035,0.30184461,0.46540078,0.23275461
serial,25600000,1,4,1.880690077001418,0.30188414,0.46532195,0.23279391
serial,25600000,1,5,1.8871433709991834,0.30175793,0.46567602,0.23256605
serial,51200000,1,0,3.7450989250010025,0.30169953,0.46562686,0.23267361
serial,51200000,1,1,3.7389290270002675,0.3017907,0.4655525,0.2326568
serial,51200000,1,2,3.734088643999712,0.30172119,0.4656057,0.23267311
serial,51200000,1,3,3.7402116390003357,0.30179887,0.4654941,0.23270703
serial,51200000,1,4,3.737922295000317,0.30183871,0.46537205,0.23278924
serial,51200000,1,5,3.7165559169989137,0.30175814,0.4656449,0.23259695
serial,66400000,1,0,4.8292237200003,0.30165974,0.46564869,0.23269157
