impl,n,P,time_s,speedup,efficiency
pthreads,100000,1,0.0073771015004240326,1.224834442050702,1.224834442050702
pthreads,100000,2,0.004436519166726309,2.036670565516952,1.018335282758476
pthreads,100000,3,0.003496463499989962,2.584247769281506,0.8614159230938353
pthreads,100000,4,0.0033644340001046658,2.6856606489953943,0.6714151622488486
pthreads,100000,5,0.003687522333166271,2.450352074875378,0.4900704149750756
pthreads,100000,6,0.003657264666192835,2.4706245855674815,0.4117707642612469
pthreads,100000,7,0.0038233250000606254,2.363316746570064,0.33761667808143775
pthreads,100000,8,0.0037462033336244835,2.411969451610392,0.301496181451299
pthreads,100000,9,0.003791687333129327,2.383036154187842,0.2647817949097602
pthreads,100000,10,0.003617164833182566,2.498013891247852,0.24980138912478517
pthreads,100000,11,0.003705944833200192,2.4381712105575657,0.22165192823250598
pthreads,100000,12,0.0035281484997540247,2.561039593671644,0.21341996613930367
pthreads,200000,1,0.013191783499981588,1.3006385755117829,1.3006385755117829
pthreads,200000,2,0.007783709000250383,2.2043144854623895,1.1021572427311948
pthreads,200000,3,0.005840416333739995,2.9377601731499654,0.9792533910499884
pthreads,200000,4,0.005436892499953198,3.15579947553195,0.7889498688829875
pthreads,200000,5,0.005518266833253922,3.1092629295272034,0.6218525859054407
pthreads,200000,6,0.005624099166501158,3.0507539059895348,0.5084589843315891
pthreads,200000,7,0.006265192667039325,2.7385817821918548,0.3912259688845507
pthreads,200000,8,0.00622853483370515,2.7546996136279644,0.34433745170349556
pthreads,200000,9,0.006447176000316783,2.661280303040098,0.2956978114488998
pthreads,200000,10,0.006669415500861457,2.5726006270953894,0.25726006270953894
pthreads,200000,11,0.006194627333267515,2.769777999030267,0.25179799991184243
pthreads,200000,12,0.006032578166620321,2.8441807177590723,0.23701505981325602
pthreads,400000,1,0.025429523165864037,1.2257147317777974,1.2257147317777974
pthreads,400000,2,0.014075859166344648,2.214382852096884,1.107191426048442
pthreads,400000,3,0.011144956000255965,2.79672177851294,0.9322405928376467
pthreads,400000,4,0.009254996000587804,3.3678395068463236,0.8419598767115809
