Problem Size,Threads,Iterations,Time(s),Speedup,Efficiency
256x256,6,70,0.0099,2.3481,0.3914
256x256,7,70,0.0119,1.9558,0.2794
256x256,8,70,0.0120,1.9471,0.2434
256x256,9,70,0.0124,1.8765,0.2085
256x256,10,70,0.0129,1.8144,0.1814
256x256,11,70,0.0129,1.8054,0.1641
256x256,12,70,0.0130,1.7880,0.1490
128x128,1,90,0.0074,1.0000,1.0000
128x128,2,90,0.0061,1.2014,0.6007
128x128,3,90,0.0060,1.2225,0.4075
128x128,4,90,0.0062,1.1879,0.2970
128x128,5,90,0.0075,0.9882,0.1976
128x128,6,90,0.0088,0.8391,0.1399
128x128,7,90,0.0094,0.7865,0.1124
128x128,8,90,0.0099,0.7475,0.0934
128x128,9,90,0.0107,0.6871,0.0763
128x128,10,90,0.0115,0.6414,0.0641
128x128,11,90,0.0123,0.5970,0.0543
128x128,12,90,0.0131,0.5624,0.0469
192x192,1,90,0.8334,1.0000,1.0000
192x192,2,90,0.0106,78.4510,39.2255
192x192,3,90,0.0094,89.0608,29.6869
192x192,4,90,0.0087,95.2814,23.8203
192x192,5,90,0.0090,92.5399,18.5080
192x192,6,90,0.0101,82.4466,13.7411
192x192,7,90,0.0122,68.2025,9.7432
192x192,8,90,0.0131,63.6300,7.9538
192x192,9,90,0.0139,60.1533,6.6837
192x192,10,90,0.0136,61.4158,6.1416
192x192,11,90,0.0143,58.1667,5.2879
192x192,12,90,0.0158,52.8484,4.4040
256x256,1,90,0.0295,1.0000,1.0000
256x256,2,90,0.0182,1.6142,0.8071
256x256,3,90,0.0156,1.8835,0.6278
256x256,4,90,0.0131,2.2454,0.5614
256x256,5,90,0.0130,2.2639,0.4528
256x256,6,90,0.0131,2.2536,0.3756
256x256,7,90,0.0157,1.8781,0.2683
256x256,8,90,0.0166,1.7779,0.2222
256x256,9,90,0.0174,1.6882,0.1876
256x256,10,90,0.0174,1.6961,0.1696
256x256,11,90,0.0178,1.6572,0.1507
256x256,12,90,0.0182,1.6216,0.1351
128x128,1,110,0.0097,1.0000,1.0000
128x128,2,110,0.0077,1.2625,0.6313
128x128,3,110,0.0077,1.2541,0.4180
128x128,4,110,0.0083,1.1729,0.2932
128x128,5,110,0.0091,1.0621,0.2124
128x128,6,110,0.0104,0.9316,0.1553
128x128,7,110,0.0124,0.7811,0.1116
128x128,8,110,0.0123,0.7884,0.0986
128x128,9,110,0.0139,0.6984,0.0776
128x128,10,110,0.0147,0.6577,0.0658
128x128,11,110,0.0157,0.6154,0.0559
128x128,12,110,0.0176,0.5487,0.0457
192x192,1,110,0.0217,1.0000,1.0000
192x192,2,110,0.0142,1.5234,0.7617
192x192,3,110,0.0121,1.7955,0.5985
192x192,4,110,0.0114,1.8990,0.4748
192x192,5,110,0.0120,1.8105,0.3621
192x192,6,110,0.0130,1.6617,0.2769
192x192,7,110,0.0160,1.3534,0.1933
192x192,8,110,0.0169,1.2855,0.1607
192x192,9,110,0.0167,1.2997,0.1444
192x192,10,110,0.0171,1.2648,0.1265
192x192,11,110,0.0176,1.2301,0.1118
192x192,12,110,0.0201,1.0801,0.0900
256x256,1,110,0.0382,1.0000,1.0000
256x256,2,110,0.0231,1.6551,0.8276
256x256,3,110,0.0228,1.6763,0.5588
256x256,4,110,0.0162,2.3517,0.5879
256x256,5,110,0.0167,2.2832,0.4566
256x256,6,110,0.0171,2.2270,0.3712
256x256,7,110,0.0188,2.0261,0.2894
256x256,8,110,0.0201,1.9016,0.2377
256x256,9,110,0.0207,1.8416,0.2046
256x256,10,110,0.0211,1.8089,0.1809
256x256,11,110,0.0213,1.7903,0.1628
256x256,12,110,0.0212,1.7981,0.1498
128x128,1,130,0.0116,1.0000,1.0000
128x128,2,130,0.0091,1.2830,0.6415
128x128,3,130,0.0085,1.3653,0.4551
128x128,4,130,0.0094,1.2297,0.3074
128x128,5,130,0.0103,1.1245,0.2249
128x128,6,130,0.0119,0.9725,0.1621
128x128,7,130,0.0143,0.8139,0.1163
128x128,8,130,0.0152,0.7633,0.0954
128x128,9,130,0.0162,0.7179,0.0798
128x128,10,130,0.0180,0.6440,0.0644
128x128,11,130,0.0187,0.6197,0.0563
128x128,12,130,0.0210,0.5524,0.0460
192x192,1,130,0.0250,1.0000,1.0000
192x192,2,130,0.0167,1.4989,0.7495
192x192,3,130,0.0142,1.7573,0.5858
192x192,4,130,0.0134,1.8702,0.4675
192x192,5,130,0.0137,1.8279,0.3656
192x192,6,130,0.0151,1.6554,0.2759
192x192,7,130,0.0188,1.3289,0.1898
192x192,8,130,0.0203,1.2360,0.1545
192x192,9,130,0.0205,1.2209,0.1357
192x192,10,130,0.0228,1.0975,0.1098
192x192,11,130,0.0245,1.0225,0.0930
192x192,12,130,0.0232,1.0778,0.0898
256x256,1,130,0.0444,1.0000,1.0000
256x256,2,130,0.0270,1.6445,0.8222
256x256,3,130,0.0215,2.0702,0.6901
256x256,4,130,0.0186,2.3814,0.5953
256x256,5,130,0.0182,2.4422,0.4884
256x256,6,130,0.0185,2.3986,0.3998
256x256,7,130,0.0222,1.9970,0.2853
256x256,8,130,0.0237,1.8714,0.2339
256x256,9,130,0.0248,1.7911,0.1990
256x256,10,130,0.0246,1.8054,0.1805
256x256,11,130,0.0256,1.7361,0.1578
256x256,12,130,0.0265,1.6734,0.1394
128x128,1,150,0.0132,1.0000,1.0000
128x128,2,150,0.0110,1.2047,0.6024
128x128,3,150,0.0106,1.2418,0.4139
128x128,4,150,0.0119,1.1130,0.2783
128x128,5,150,0.0136,0.9723,0.1945
128x128,6,150,0.0166,0.7971,0.1329
128x128,7,150,0.0174,0.7581,0.1083
128x128,8,150,0.0172,0.7681,0.0960
128x128,9,150,0.0186,0.7081,0.0787
128x128,10,150,0.0201,0.6571,0.0657
128x128,11,150,0.0216,0.6107,0.0555
128x128,12,150,0.0236,0.5589,0.0466
192x192,1,150,0.0298,1.0000,1.0000
192x192,2,150,0.0190,1.5686,0.7843
192x192,3,150,0.0162,1.8385,0.6128
192x192,4,150,0.0151,1.9757,0.4939
192x192,5,150,0.0160,1.8611,0.3722
192x192,6,150,0.0176,1.6951,0.2825
192x192,7,150,0.0214,1.3912,0.1987
192x192,8,150,0.0232,1.2863,0.1608
192x192,9,150,0.0228,1.3058,0.1451
192x192,10,150,0.0237,1.2569,0.1257
192x192,11,150,0.0246,1.2105,0.1100
192x192,12,150,0.0271,1.0986,0.0915
256x256,1,150,0.0516,1.0000,1.0000
256x256,2,150,0.0309,1.6710,0.8355
256x256,3,150,0.0245,2.1058,0.7019
256x256,4,150,0.0231,2.2293,0.5573
256x256,5,150,0.0231,2.2300,0.4460
256x256,6,150,0.0226,2.2862,0.3810
256x256,7,150,0.0262,1.9682,0.2812
256x256,8,150,0.0272,1.8993,0.2374
256x256,9,150,0.0290,1.7810,0.1979
256x256,10,150,0.0289,1.7855,0.1786
256x256,11,150,0.0293,1.7594,0.1599
256x256,12,150,0.0280,1.8441,0.1537
128x128,1,170,0.0137,1.0000,1.0000
128x128,2,170,0.0114,1.2023,0.6011
128x128,3,170,0.0112,1.2299,0.4100
128x128,4,170,0.0119,1.1563,0.2891
128x128,5,170,0.0131,1.0477,0.2095
128x128,6,170,0.0153,0.8985,0.1497
128x128,7,170,0.0181,0.7603,0.1086
128x128,8,170,0.0194,0.7080,0.0885
128x128,9,170,0.0252,0.5452,0.0606
128x128,10,170,0.0213,0.6466,0.0647
128x128,11,170,0.0226,0.6094,0.0554
128x128,12,170,0.0241,0.5696,0.0475
192x192,1,170,0.0303,1.0000,1.0000
192x192,2,170,0.0207,1.4609,0.7305
192x192,3,170,0.0183,1.6557,0.5519
192x192,4,170,0.0167,1.8078,0.4520
192x192,5,170,0.0186,1.6288,0.3258
192x192,6,170,0.0205,1.4732,0.2455
192x192,7,170,0.0233,1.2972,0.1853
192x192,8,170,0.0239,1.2646,0.1581
192x192,9,170,0.0239,1.2632,0.1404
192x192,10,170,0.0246,1.2322,0.1232
192x192,11,170,0.0256,1.1810,0.1074
192x192,12,170,0.0283,1.0691,0.0891
256x256,1,170,0.0552,1.0000,1.0000
256x256,2,170,0.0336,1.6434,0.8217
256x256,3,170,0.0253,2.1784,0.7261
256x256,4,170,0.0223,2.4756,0.6189
256x256,5,170,0.0217,2.5404,0.5081
256x256,6,170,0.0242,2.2820,0.3803
256x256,7,170,0.0268,2.0599,0.2943
256x256,8,170,0.0283,1.9500,0.2437
256x256,9,170,0.0293,1.8839,0.2093
256x256,10,170,0.0312,1.7668,0.1767
256x256,11,170,0.0333,1.6580,0.1507
256x256,12,170,0.0323,1.7072,0.1423
128x128,1,190,0.0156,1.0000,1.0000
128x128,2,190,0.0142,1.0972,0.5486
128x128,3,190,0.0136,1.1520,0.3840
128x128,4,190,0.0131,1.1892,0.2973
128x128,5,190,0.0154,1.0176,0.2035
128x128,6,190,0.0176,0.8888,0.1481
128x128,7,190,0.0192,0.8156,0.1165
128x128,8,190,0.0202,0.7734,0.0967
128x128,9,190,0.0219,0.7151,0.0795
128x128,10,190,0.0235,0.6647,0.0665
128x128,11,190,0.0246,0.6360,0.0578
128x128,12,190,0.0273,0.5736,0.0478
192x192,1,190,0.0345,1.0000,1.0000
192x192,2,190,0.0226,1.5313,0.7656
192x192,3,190,0.0184,1.8730,0.6243
192x192,4,190,0.0184,1.8735,0.4684
192x192,5,190,0.0222,1.5548,0.3110
192x192,6,190,0.0208,1.6616,0.2769
192x192,7,190,0.0286,1.2073,0.1725
192x192,8,190,0.0280,1.2326,0.1541
192x192,9,190,0.0278,1.2443,0.1383
192x192,10,190,0.0298,1.1576,0.1158
192x192,11,190,0.0294,1.1768,0.1070
192x192,12,190,0.0305,1.1312,0.0943
256x256,1,190,0.0613,1.0000,1.0000
256x256,2,190,0.0381,1.6104,0.8052
256x256,3,190,0.0291,2.1069,0.7023
256x256,4,190,0.0267,2.3005,0.5751
256x256,5,190,0.0258,2.3773,0.4755
256x256,6,190,0.0262,2.3411,0.3902
256x256,7,190,0.0300,2.0413,0.2916
256x256,8,190,0.0317,1.9351,0.2419
256x256,9,190,0.0336,1.8274,0.2030
256x256,10,190,0.0329,1.8639,0.1864
256x256,11,190,0.0333,1.8408,0.1673
256x256,12,190,0.0340,1.8043,0.1504
