impl,n,P,time_s,speedup,efficiency
pthreads,100000,1,0.007249464333654032,1.2539463260427504,1.2539463260427504
pthreads,100000,2,0.004678280500229448,1.943115460160541,0.9715577300802705
pthreads,100000,3,0.0036544036668904787,2.4875301131411294,0.8291767043803765
pthreads,100000,4,0.0037707794993669572,2.4107586159544847,0.6026896539886212
pthreads,100000,5,0.003830797166604801,2.3729889032522697,0.47459778065045394
pthreads,100000,6,0.003918150499885087,2.320084225256288,0.38668070420938133
pthreads,100000,7,0.0038926868337512133,2.3352608507176953,0.33360869295967077
pthreads,100000,8,0.0038521591668541078,2.359829584712409,0.29497869808905114
pthreads,200000,1,0.013386788166826591,1.2417737766590742,1.2417737766590742
pthreads,200000,2,0.007965300166385228,2.08697251227372,1.04348625613686
pthreads,200000,3,0.006333592666730207,2.6246339753701386,0.8748779917900462
pthreads,200000,4,0.005551798666904991,2.994230067878602,0.7485575169696504
pthreads,200000,5,0.005830099833777543,2.8512998015823605,0.5702599603164721
pthreads,200000,6,0.006046175333115873,2.7494013294994004,0.45823355491656675
pthreads,200000,7,0.006380877000386438,2.605184600525683,0.37216922864652613
pthreads,200000,8,0.006123408499661309,2.714723752330865,0.3393404690413581
pthreads,400000,1,0.025048931832922488,1.2277071548888472,1.2277071548888472
pthreads,400000,2,0.014073680000061964,2.1851252006203454,1.0925626003101727
pthreads,400000,3,0.01073283799996716,2.865295538206767,0.955098512735589
pthreads,400000,4,0.009327045166780104,3.2971592056971297,0.8242898014242824
pthreads,400000,5,0.009258972666126889,3.321400110198845,0.664280022039769
pthreads,400000,6,0.009028871166265162,3.406046256203584,0.5676743760339307
pthreads,400000,7,0.011387898333547733,2.700476587765723,0.3857823696808175
pthreads,400000,8,0.011196673500307952,2.746597266836094,0.34332465835451176
pthreads,800000,1,0.049627776333484995,1.2240408158776224,1.2240408158776224
pthreads,800000,2,0.026995322000099502,2.2502574273130445,1.1251287136565222
pthreads,800000,3,0.019830685667026653,3.063253830624569,1.0210846102081896
pthreads,800000,4,0.017455776999971324,3.480018324794761,0.8700045811986903
pthreads,800000,5,0.016732525333281956,3.6304396750323753,0.7260879350064751
pthreads,800000,6,0.01716637049988397,3.538687682049139,0.5897812803415231
pthreads,800000,7,0.022081243499997072,2.751041798594322,0.3930059712277603
pthreads,800000,8,0.021080568000191608,2.8816312650057148,0.36020390812571434
pthreads,1600000,1,0.09781280083340486,1.2196057637635416,1.2196057637635416
pthreads,1600000,2,0.0525172380002914,2.271502847610036,1.135751423805018
pthreads,1600000,3,0.03867151066666944,3.084778784426782,1.0282595948089275
pthreads,1600000,4,0.033586929666247066,3.551770193098614,0.8879425482746535
pthreads,1600000,5,0.03220353933344692,3.7043461102543143,0.7408692220508628
pthreads,1600000,6,0.03912462949998977,3.0490526604554065,0.5081754434092344
pthreads,1600000,7,0.04300374316668846,2.774015629380901,0.39628794705441445
pthreads,1600000,8,0.04339468016678438,2.7490248852573975,0.3436281106571747
pthreads,3200000,1,0.1933894556668747,1.2507394883511076,1.2507394883511076
pthreads,3200000,2,0.10310726600043078,2.345904786499484,1.172952393249742
pthreads,3200000,3,0.07575455933359383,3.1929408732765605,1.0643136244255202
pthreads,3200000,4,0.06660817533308243,3.6313834994538743,0.9078458748634686
pthreads,3200000,5,0.06304372050059708,3.8366997840965826,0.7673399568193165
pthreads,3200000,6,0.061444496500371315,3.936558074518918,0.6560930124198197
pthreads,3200000,7,0.07888667566658114,3.0661683584640382,0.43802405120914834
pthreads,3200000,8,0.08140915600082128,2.9711624676571504,0.3713953084571438
pthreads,6400000,1,0.38716082350068365,1.2287524334169861,1.2287524334169861
pthreads,6400000,2,0.20604927583311414,2.3087914387308692,1.1543957193654346
pthreads,6400000,3,0.15101766583332696,3.150126850227115,1.0500422834090384
pthreads,6400000,4,0.12943432049996773,3.6754146980692646,0.9188536745173161
pthreads,6400000,5,0.12366596800014425,3.8468530323527195,0.7693706064705439
pthreads,6400000,6,0.12333743799960455,3.8570997721041893,0.6428499620173649
pthreads,6400000,7,0.159991406999931,2.9734397172992826,0.4247771024713261
pthreads,6400000,8,0.16331587116625693,2.9129122638417515,0.36411403298021894
pthreads,12800000,1,0.7677102988333596,1.2241445650286302,1.2241445650286302
pthreads,12800000,2,0.4113719981669419,2.284522023912722,1.142261011956361
pthreads,12800000,3,0.3014387235001171,3.117676385174175,1.039225461724725
pthreads,12800000,4,0.2593738491665742,3.6232966154957857,0.9058241538739464
pthreads,12800000,5,0.24480282983283055,3.8389604829123893,0.7677920965824778
pthreads,12800000,6,0.2472062413335152,3.8016369844216795,0.6336061640702799
pthreads,12800000,7,0.29777133166650555,3.156074107516488,0.45086772964521254
pthreads,12800000,8,0.3127248498334059,3.0051605759312205,0.37564507199140257
mpi,100000,1,0.31942315216656425,0.028458923861045583,0.028458923861045583
mpi,100000,2,0.321212862166855,0.02830035853994344,0.01415017926997172
mpi,100000,3,0.32121793049979414,0.028299912003104246,0.009433304001034749
mpi,100000,4,0.3270635978333303,0.027794102514569246,0.0069485256286423115
mpi,100000,5,0.3311341208336671,0.02745243874016134,0.0054904877480322686
mpi,100000,6,0.3332741685001868,0.027276158869055385,0.004546026478175897
mpi,100000,7,0.3402729788340366,0.026715136764935907,0.003816448109276558
mpi,100000,8,0.3439329473330872,0.026430847167891864,0.003303855895986483
mpi,200000,1,0.3317768460001389,0.050104046438636356,0.050104046438636356
mpi,200000,2,0.3212517636663203,0.05174559140015093,0.025872795700075463
mpi,200000,3,0.32604965666663094,0.050984143547962074,0.016994714515987358
mpi,200000,4,0.3291771636665241,0.05049974401047974,0.012624936002619935
mpi,200000,5,0.33039746683364984,0.0503132262440283,0.01006264524880566
mpi,200000,6,0.336528661666307,0.04939657269293321,0.008232762115488868
mpi,200000,7,0.3406287383331801,0.048801996509746655,0.006971713787106665
mpi,200000,8,0.3433659519999613,0.048412961164120125,0.006051620145515016
mpi,400000,1,0.33658655599992926,0.09136655129389186,0.09136655129389186
mpi,400000,2,0.32786294516699854,0.09379758611616779,0.04689879305808389
mpi,400000,3,0.3285824640000404,0.09359219131547496,0.031197397105158318
mpi,400000,4,0.3317035080002218,0.09271156949471086,0.023177892373677716
mpi,400000,5,0.3331043743337432,0.09232167213388262,0.018464334426776523
mpi,400000,6,0.3360690053335323,0.09150725697861163,0.015251209496435271
mpi,400000,7,0.35866016916679655,0.08574342923286872,0.012249061318981246
mpi,400000,8,0.3454829886668449,0.08901379761785418,0.011126724702231772
mpi,800000,1,0.3604515314997722,0.16852868839446036,0.16852868839446036
mpi,800000,2,0.34128196750013257,0.177994824275055,0.0889974121375275
mpi,800000,3,0.3376263816659654,0.17992202959285128,0.05997400986428376
mpi,800000,4,0.3358759971667193,0.18085967543336637,0.04521491885834159
mpi,800000,5,0.33891993166616885,0.17923532421004224,0.03584706484200845
mpi,800000,6,0.3409280310000516,0.1781796106798327,0.029696601779972118
mpi,800000,7,0.3440787881666741,0.17654800563877002,0.025221143662681432
mpi,800000,8,0.34863926300022285,0.1742386193415981,0.021779827417699762
mpi,1600000,1,0.4085261063334353,0.29200840244199716,0.29200840244199716
mpi,1600000,2,0.3639367796661948,0.32778510535728833,0.16389255267864417
mpi,1600000,3,0.351673338499495,0.3392155236313065,0.11307184121043551
mpi,1600000,4,0.3480672674998762,0.342729888171166,0.0856824720427915
mpi,1600000,5,0.3487406723334061,0.34206808993081345,0.06841361798616269
mpi,1600000,6,0.35047524116665346,0.3403751296929737,0.05672918828216228
mpi,1600000,7,0.35452805999951426,0.336484101333021,0.04806915733328871
mpi,1600000,8,0.35688070816649997,0.3342659127727931,0.04178323909659914
mpi,3200000,1,0.5019506844998128,0.4818796672711307,0.4818796672711307
mpi,3200000,2,0.41134894649985654,0.5880161621694355,0.29400808108471777
mpi,3200000,3,0.3845221918336392,0.6290399721271059,0.2096799907090353
mpi,3200000,4,0.3740428506668347,0.6466634194506552,0.1616658548626638
mpi,3200000,5,0.3671935464996447,0.6587257078427988,0.13174514156855976
mpi,3200000,6,0.3677491575005358,0.65773047714714,0.10962174619118999
mpi,3200000,7,0.36942580800011154,0.6547453469553298,0.09353504956504712
mpi,3200000,8,0.37030168233316846,0.6531966782037506,0.08164958477546883
mpi,6400000,1,0.6937194523337288,0.6857596430369831,0.6857596430369831
mpi,6400000,2,0.5038822686665299,0.9441189610802216,0.4720594805401108
mpi,6400000,3,0.45117340500019054,1.0544167690912287,0.3514722563637429
mpi,6400000,4,0.4216279545001574,1.128304703050736,0.282076175762684
mpi,6400000,5,0.40757539550001337,1.1672068757157685,0.23344137514315372
mpi,6400000,6,0.4022091786664532,1.1827795814543098,0.19712993024238498
mpi,6400000,7,0.39608664466686605,1.201062470561975,0.171580352937425
mpi,6400000,8,0.3975029241661711,1.196783155741814,0.14959789446772676
mpi,12800000,1,1.0778955496662093,0.871873337007826,0.871873337007826
mpi,12800000,2,0.7044829576661868,1.3340115322969577,0.6670057661484788
mpi,12800000,3,0.575180309167384,1.6339022300568247,0.5446340766856083
mpi,12800000,4,0.516757810833648,1.818624450624694,0.4546561126561735
mpi,12800000,5,0.4884029094998065,1.9242071895022872,0.38484143790045744
mpi,12800000,6,0.4667576229997697,2.0134398315629145,0.33557330526048573
mpi,12800000,7,0.46147123183345684,2.0365048241458497,0.29092926059226426
mpi,12800000,8,0.45533910800046823,2.063930756925883,0.25799134461573536
