k,r,b,t,r_frac,b_frac,t_frac
100,16,9,75,0.16000000,0.09000000,0.75000000
200,20,18,162,0.10000000,0.09000000,0.81000000
300,33,27,240,0.11000000,0.09000000,0.80000000
400,41,34,325,0.10250000,0.08500000,0.81250000
500,50,40,410,0.10000000,0.08000000,0.82000000
600,65,49,486,0.10833333,0.08166667,0.81000000
700,81,52,567,0.11571429,0.07428571,0.81000000
800,90,60,650,0.11250000,0.07500000,0.81250000
900,100,70,730,0.11111111,0.07777778,0.81111111
1000,115,79,806,0.11500000,0.07900000,0.80600000
1100,133,86,881,0.12090909,0.07818182,0.80090909
1200,146,95,959,0.12166667,0.07916667,0.79916667
1300,160,104,1036,0.12307692,0.08000000,0.79692308
1400,170,110,1120,0.12142857,0.07857143,0.80000000
1500,181,114,1205,0.12066667,0.07600000,0.80333333
1600,191,125,1284,0.11937500,0.07812500,0.80250000
1700,202,130,1368,0.11882353,0.07647059,0.80470588
1800,211,140,1449,0.11722222,0.07777778,0.80500000
1900,220,146,1534,0.11578947,0.07684211,0.80736842
2000,235,154,1611,0.11750000,0.07700000,0.80550000
2100,250,165,1685,0.11904762,0.07857143,0.80238095
2200,257,174,1769,0.11681818,0.07909091,0.80409091
2300,271,178,1851,0.11782609,0.07739130,0.80478261
2400,283,188,1929,0.11791667,0.07833333,0.80375000
2500,291,198,2011,0.11640000,0.07920000,0.80440000
2600,308,205,2087,0.11846154,0.07884615,0.80269231
2700,325,213,2162,0.12037037,0.07888889,0.80074074
2800,336,225,2239,0.12000000,0.08035714,0.79964286
2900,343,232,2325,0.11827586,0.08000000,0.80172414
3000,354,242,2404,0.11800000,0.08066667,0.80133333
3100,368,256,2476,0.11870968,0.08258065,0.79870968
3200,380,261,2559,0.11875000,0.08156250,0.79968750
3300,390,272,2638,0.11818182,0.08242424,0.79939394
3400,398,280,2722,0.11705882,0.08235294,0.80058824
3500,412,287,2801,0.11771429,0.08200000,0.80028571
3600,423,299,2878,0.11750000,0.08305556,0.79944444
3700,439,306,2955,0.11864865,0.08270270,0.79864865
3800,454,309,3037,0.11947368,0.08131579,0.79921053
3900,465,318,3117,0.11923077,0.08153846,0.79923077
4000,472,326,3202,0.11800000,0.08150000,0.80050000
4100,484,330,3286,0.11804878,0.08048780,0.80146341
4200,493,338,3369,0.11738095,0.08047619,0.80214286
4300,513,346,3441,0.11930233,0.08046512,0.80023256
4400,528,357,3515,0.12000000,0.08113636,0.79886364
4500,537,367,3596,0.11933333,0.08155556,0.79911111
4600,549,378,3673,0.11934783,0.08217391,0.79847826
4700,558,382,3760,0.11872340,0.08127660,0.80000000
4800,573,388,3839,0.11937500,0.08083333,0.79979167
4900,582,396,3922,0.11877551,0.08081633,0.80040816
5000,598,409,3993,0.11960000,0.08180000,0.79860000
5100,611,415,4074,0.11980392,0.08137255,0.79882353
5200,622,427,4151,0.11961538,0.08211538,0.79826923
5300,630,439,4231,0.11886792,0.08283019,0.79830189
5400,636,452,4312,0.11777778,0.08370370,0.79851852
5500,646,467,4387,0.11745455,0.08490909,0.79763636
5600,660,474,4466,0.11785714,0.08464286,0.79750000
5700,674,486,4540,0.11824561,0.08526316,0.79649123
5800,684,494,4622,0.11793103,0.08517241,0.79689655
5900,700,501,4699,0.11864407,0.08491525,0.79644068
6000,710,510,4780,0.11833333,0.08500000,0.79666667
6100,724,512,4864,0.11868852,0.08393443,0.79737705
6200,737,517,4946,0.11887097,0.08338710,0.79774194
6300,748,527,5025,0.11873016,0.08365079,0.79761905
6400,759,537,5104,0.11859375,0.08390625,0.79750000
6500,769,546,5185,0.11830769,0.08400000,0.79769231
6600,776,553,5271,0.11757576,0.08378788,0.79863636
6700,793,563,5344,0.11835821,0.08402985,0.79761194
6800,807,569,5424,0.11867647,0.08367647,0.79764706
6900,820,574,5506,0.11884058,0.08318841,0.79797101
7000,829,587,5584,0.11842857,0.08385714,0.79771429
7100,839,594,5667,0.11816901,0.08366197,0.79816901
7200,852,600,5748,0.11833333,0.08333333,0.79833333
7300,863,609,5828,0.11821918,0.08342466,0.79835616
7400,874,614,5912,0.11810811,0.08297297,0.79891892
7500,882,621,5997,0.11760000,0.08280000,0.79960000
7600,893,626,6081,0.11750000,0.08236842,0.80013158
7700,904,635,6161,0.11740260,0.08246753,0.80012987
7800,913,647,6240,0.11705128,0.08294872,0.80000000
7900,927,659,6314,0.11734177,0.08341772,0.79924051
8000,939,676,6385,0.11737500,0.08450000,0.79812500
8100,947,682,6471,0.11691358,0.08419753,0.79888889
8200,961,692,6547,0.11719512,0.08439024,0.79841463
8300,969,698,6633,0.11674699,0.08409639,0.79915663
8400,984,706,6710,0.11714286,0.08404762,0.79880952
8500,997,717,6786,0.11729412,0.08435294,0.79835294
8600,1008,723,6869,0.11720930,0.08406977,0.79872093
8700,1016,734,6950,0.11678161,0.08436782,0.79885057
8800,1033,745,7022,0.11738636,0.08465909,0.79795455
8900,1044,751,7105,0.11730337,0.08438202,0.79831461
9000,1051,761,7188,0.11677778,0.08455556,0.79866667
9100,1063,770,7267,0.11681319,0.08461538,0.79857143
9200,1080,775,7345,0.11739130,0.08423913,0.79836957
9300,1090,781,7429,0.11720430,0.08397849,0.79881720
9400,1099,788,7513,0.11691489,0.08382979,0.79925532
9500,1115,792,7593,0.11736842,0.08336842,0.79926316
9600,1128,805,7667,0.11750000,0.08385417,0.79864583
9700,1139,811,7750,0.11742268,0.08360825,0.79896907
9800,1153,819,7828,0.11765306,0.08357143,0.79877551
9900,1159,828,7913,0.11707071,0.08363636,0.79929293
10000,1161,836,8003,0.11610000,0.08360000,0.80030000
10100,1172,843,8085,0.11603960,0.08346535,0.80049505
10200,1181,851,8168,0.11578431,0.08343137,0.80078431
10300,1196,861,8243,0.11611650,0.08359223,0.80029126
10400,1211,876,8313,0.11644231,0.08423077,0.79932692
10500,1218,884,8398,0.11600000,0.08419048,0.79980952
10600,1232,891,8477,0.11622642,0.08405660,0.79971698
10700,1242,903,8555,0.11607477,0.08439252,0.79953271
