k,r,b,t,r_frac,b_frac,t_frac
100,31,37,32,0.31000000,0.37000000,0.32000000
200,59,73,68,0.29500000,0.36500000,0.34000000
300,85,113,102,0.28333333,0.37666667,0.34000000
400,119,149,132,0.29750000,0.37250000,0.33000000
500,147,187,166,0.29400000,0.37400000,0.33200000
600,176,228,196,0.29333333,0.38000000,0.32666667
700,204,262,234,0.29142857,0.37428571,0.33428571
800,232,295,273,0.29000000,0.36875000,0.34125000
900,265,323,312,0.29444444,0.35888889,0.34666667
1000,294,361,345,0.29400000,0.36100000,0.34500000
1100,326,400,374,0.29636364,0.36363636,0.34000000
1200,357,436,407,0.29750000,0.36333333,0.33916667
1300,388,478,434,0.29846154,0.36769231,0.33384615
1400,413,514,473,0.29500000,0.36714286,0.33785714
1500,436,551,513,0.29066667,0.36733333,0.34200000
1600,472,585,543,0.29500000,0.36562500,0.33937500
1700,504,615,581,0.29647059,0.36176471,0.34176471
1800,531,654,615,0.29500000,0.36333333,0.34166667
1900,562,683,655,0.29578947,0.35947368,0.34473684
2000,585,722,693,0.29250000,0.36100000,0.34650000
2100,612,768,720,0.29142857,0.36571429,0.34285714
2200,640,806,754,0.29090909,0.36636364,0.34272727
2300,674,838,788,0.29304348,0.36434783,0.34260870
2400,704,871,825,0.29333333,0.36291667,0.34375000
2500,725,912,863,0.29000000,0.36480000,0.34520000
2600,745,961,894,0.28653846,0.36961538,0.34384615
2700,779,1003,918,0.28851852,0.37148148,0.34000000
2800,812,1039,949,0.29000000,0.37107143,0.33892857
2900,828,1080,992,0.28551724,0.37241379,0.34206897
3000,853,1124,1023,0.28433333,0.37466667,0.34100000
3100,880,1168,1052,0.28387097,0.37677419,0.33935484
3200,909,1208,1083,0.28406250,0.37750000,0.33843750
3300,936,1246,1118,0.28363636,0.37757576,0.33878788
3400,958,1297,1145,0.28176471,0.38147059,0.33676471
3500,980,1346,1174,0.28000000,0.38457143,0.33542857
3600,1005,1386,1209,0.27916667,0.38500000,0.33583333
3700,1036,1424,1240,0.28000000,0.38486486,0.33513514
3800,1056,1466,1278,0.27789474,0.38578947,0.33631579
3900,1079,1503,1318,0.27666667,0.38538462,0.33794872
4000,1105,1543,1352,0.27625000,0.38575000,0.33800000
4100,1128,1593,1379,0.27512195,0.38853659,0.33634146
4200,1158,1630,1412,0.27571429,0.38809524,0.33619048
4300,1190,1668,1442,0.27674419,0.38790698,0.33534884
4400,1219,1700,1481,0.27704545,0.38636364,0.33659091
4500,1247,1736,1517,0.27711111,0.38577778,0.33711111
4600,1269,1777,1554,0.27586957,0.38630435,0.33782609
4700,1299,1814,1587,0.27638298,0.38595745,0.33765957
4800,1322,1854,1624,0.27541667,0.38625000,0.33833333
4900,1361,1880,1659,0.27775510,0.38367347,0.33857143
5000,1390,1924,1686,0.27800000,0.38480000,0.33720000
5100,1406,1972,1722,0.27568627,0.38666667,0.33764706
5200,1431,2015,1754,0.27519231,0.38750000,0.33730769
5300,1454,2052,1794,0.27433962,0.38716981,0.33849057
5400,1487,2086,1827,0.27537037,0.38629630,0.33833333
5500,1514,2134,1852,0.27527273,0.38800000,0.33672727
5600,1542,2167,1891,0.27535714,0.38696429,0.33767857
5700,1564,2207,1929,0.27438596,0.38719298,0.33842105
5800,1592,2246,1962,0.27448276,0.38724138,0.33827586
5900,1619,2271,2010,0.27440678,0.38491525,0.34067797
6000,1647,2307,2046,0.27450000,0.38450000,0.34100000
6100,1669,2343,2088,0.27360656,0.38409836,0.34229508
6200,1695,2377,2128,0.27338710,0.38338710,0.34322581
6300,1725,2413,2162,0.27380952,0.38301587,0.34317460
