k,r,b,t,r_frac,b_frac,t_frac
100,34,36,30,0.34000000,0.36000000,0.30000000
200,60,75,65,0.30000000,0.37500000,0.32500000
300,88,119,93,0.29333333,0.39666667,0.31000000
400,120,160,120,0.30000000,0.40000000,0.30000000
500,145,206,149,0.29000000,0.41200000,0.29800000
600,173,250,177,0.28833333,0.41666667,0.29500000
700,205,289,206,0.29285714,0.41285714,0.29428571
800,236,319,245,0.29500000,0.39875000,0.30625000
900,267,360,273,0.29666667,0.40000000,0.30333333
1000,296,407,297,0.29600000,0.40700000,0.29700000
1100,328,452,320,0.29818182,0.41090909,0.29090909
1200,360,494,346,0.30000000,0.41166667,0.28833333
1300,389,529,382,0.29923077,0.40692308,0.29384615
1400,414,565,421,0.29571429,0.40357143,0.30071429
1500,447,609,444,0.29800000,0.40600000,0.29600000
1600,477,646,477,0.29812500,0.40375000,0.29812500
1700,501,690,509,0.29470588,0.40588235,0.29941176
1800,530,728,542,0.29444444,0.40444444,0.30111111
1900,556,771,573,0.29263158,0.40578947,0.30157895
2000,584,816,600,0.29200000,0.40800000,0.30000000
2100,613,856,631,0.29190476,0.40761905,0.30047619
2200,641,889,670,0.29136364,0.40409091,0.30454545
2300,673,933,694,0.29260870,0.40565217,0.30173913
2400,688,986,726,0.28666667,0.41083333,0.30250000
2500,724,1027,749,0.28960000,0.41080000,0.29960000
2600,758,1064,778,0.29153846,0.40923077,0.29923077
2700,779,1108,813,0.28851852,0.41037037,0.30111111
2800,803,1157,840,0.28678571,0.41321429,0.30000000
2900,827,1203,870,0.28517241,0.41482759,0.30000000
3000,857,1243,900,0.28566667,0.41433333,0.30000000
3100,877,1292,931,0.28290323,0.41677419,0.30032258
3200,905,1343,952,0.28281250,0.41968750,0.29750000
3300,925,1388,987,0.28030303,0.42060606,0.29909091
3400,961,1427,1012,0.28264706,0.41970588,0.29764706
3500,980,1473,1047,0.28000000,0.42085714,0.29914286
3600,1003,1522,1075,0.27861111,0.42277778,0.29861111
3700,1031,1563,1106,0.27864865,0.42243243,0.29891892
3800,1058,1615,1127,0.27842105,0.42500000,0.29657895
3900,1088,1653,1159,0.27897436,0.42384615,0.29717949
4000,1119,1691,1190,0.27975000,0.42275000,0.29750000
4100,1150,1730,1220,0.28048780,0.42195122,0.29756098
4200,1177,1772,1251,0.28023810,0.42190476,0.29785714
4300,1198,1813,1289,0.27860465,0.42162791,0.29976744
4400,1223,1865,1312,0.27795455,0.42386364,0.29818182
4500,1261,1899,1340,0.28022222,0.42200000,0.29777778
4600,1296,1937,1367,0.28173913,0.42108696,0.29717391
4700,1313,1990,1397,0.27936170,0.42340426,0.29723404
4800,1335,2033,1432,0.27812500,0.42354167,0.29833333
4900,1367,2069,1464,0.27897959,0.42224490,0.29877551
5000,1398,2110,1492,0.27960000,0.42200000,0.29840000
5100,1425,2158,1517,0.27941176,0.42313725,0.29745098
5200,1449,2198,1553,0.27865385,0.42269231,0.29865385
5300,1476,2242,1582,0.27849057,0.42301887,0.29849057
5400,1505,2276,1619,0.27870370,0.42148148,0.29981481
5500,1542,2304,1654,0.28036364,0.41890909,0.30072727
5600,1566,2352,1682,0.27964286,0.42000000,0.30035714
5700,1596,2391,1713,0.28000000,0.41947368,0.30052632
5800,1628,2429,1743,0.28068966,0.41879310,0.30051724
5900,1661,2472,1767,0.28152542,0.41898305,0.29949153
6000,1684,2518,1798,0.28066667,0.41966667,0.29966667
6100,1717,2555,1828,0.28147541,0.41885246,0.29967213
6200,1752,2596,1852,0.28258065,0.41870968,0.29870968
6300,1778,2627,1895,0.28222222,0.41698413,0.30079365
6400,1808,2672,1920,0.28250000,0.41750000,0.30000000
6500,1839,2718,1943,0.28292308,0.41815385,0.29892308
6600,1868,2758,1974,0.28303030,0.41787879,0.29909091
6700,1890,2807,2003,0.28208955,0.41895522,0.29895522
6800,1923,2849,2028,0.28279412,0.41897059,0.29823529
6900,1952,2887,2061,0.28289855,0.41840580,0.29869565
7000,1982,2922,2096,0.28314286,0.41742857,0.29942857
7100,2014,2968,2118,0.28366197,0.41802817,0.29830986
7200,2047,3010,2143,0.28430556,0.41805556,0.29763889
7300,2075,3048,2177,0.28424658,0.41753425,0.29821918
7400,2102,3088,2210,0.28405405,0.41729730,0.29864865
7500,2126,3132,2242,0.28346667,0.41760000,0.29893333
7600,2158,3167,2275,0.28394737,0.41671053,0.29934211
7700,2187,3211,2302,0.28402597,0.41701299,0.29896104
7800,2218,3253,2329,0.28435897,0.41705128,0.29858974
7900,2245,3295,2360,0.28417722,0.41708861,0.29873418
8000,2273,3329,2398,0.28412500,0.41612500,0.29975000
8100,2300,3370,2430,0.28395062,0.41604938,0.30000000
8200,2335,3406,2459,0.28475610,0.41536585,0.29987805
8300,2367,3450,2483,0.28518072,0.41566265,0.29915663
8400,2393,3496,2511,0.28488095,0.41619048,0.29892857
8500,2423,3540,2537,0.28505882,0.41647059,0.29847059
8600,2449,3586,2565,0.28476744,0.41697674,0.29825581
