k,r,b,t,r_frac,b_frac,t_frac
100,37,33,30,0.37000000,0.33000000,0.30000000
200,62,77,61,0.31000000,0.38500000,0.30500000
300,85,131,84,0.28333333,0.43666667,0.28000000
400,118,180,102,0.29500000,0.45000000,0.25500000
500,143,228,129,0.28600000,0.45600000,0.25800000
600,172,270,158,0.28666667,0.45000000,0.26333333
700,204,314,182,0.29142857,0.44857143,0.26000000
800,235,354,211,0.29375000,0.44250000,0.26375000
900,261,405,234,0.29000000,0.45000000,0.26000000
1000,294,448,258,0.29400000,0.44800000,0.25800000
1100,329,491,280,0.29909091,0.44636364,0.25454545
1200,357,535,308,0.29750000,0.44583333,0.25666667
1300,382,580,338,0.29384615,0.44615385,0.26000000
1400,419,628,353,0.29928571,0.44857143,0.25214286
1500,452,669,379,0.30133333,0.44600000,0.25266667
1600,472,722,406,0.29500000,0.45125000,0.25375000
1700,502,762,436,0.29529412,0.44823529,0.25647059
1800,529,808,463,0.29388889,0.44888889,0.25722222
1900,556,864,480,0.29263158,0.45473684,0.25263158
2000,584,904,512,0.29200000,0.45200000,0.25600000
2100,614,947,539,0.29238095,0.45095238,0.25666667
2200,637,1007,556,0.28954545,0.45772727,0.25272727
2300,664,1057,579,0.28869565,0.45956522,0.25173913
2400,700,1098,602,0.29166667,0.45750000,0.25083333
2500,723,1137,640,0.28920000,0.45480000,0.25600000
2600,746,1187,667,0.28692308,0.45653846,0.25653846
2700,771,1236,693,0.28555556,0.45777778,0.25666667
2800,799,1278,723,0.28535714,0.45642857,0.25821429
2900,823,1332,745,0.28379310,0.45931034,0.25689655
3000,849,1387,764,0.28300000,0.46233333,0.25466667
3100,873,1439,788,0.28161290,0.46419355,0.25419355
3200,905,1482,813,0.28281250,0.46312500,0.25406250
3300,923,1538,839,0.27969697,0.46606061,0.25424242
3400,951,1587,862,0.27970588,0.46676471,0.25352941
3500,980,1636,884,0.28000000,0.46742857,0.25257143
3600,1011,1683,906,0.28083333,0.46750000,0.25166667
3700,1036,1729,935,0.28000000,0.46729730,0.25270270
3800,1068,1774,958,0.28105263,0.46684211,0.25210526
3900,1101,1816,983,0.28230769,0.46564103,0.25205128
4000,1124,1867,1009,0.28100000,0.46675000,0.25225000
4100,1150,1923,1027,0.28048780,0.46902439,0.25048780
4200,1189,1962,1049,0.28309524,0.46714286,0.24976190
4300,1224,2001,1075,0.28465116,0.46534884,0.25000000
4400,1241,2054,1105,0.28204545,0.46681818,0.25113636
4500,1266,2102,1132,0.28133333,0.46711111,0.25155556
4600,1298,2144,1158,0.28217391,0.46608696,0.25173913
4700,1332,2189,1179,0.28340426,0.46574468,0.25085106
4800,1363,2236,1201,0.28395833,0.46583333,0.25020833
4900,1384,2279,1237,0.28244898,0.46510204,0.25244898
5000,1414,2318,1268,0.28280000,0.46360000,0.25360000
5100,1443,2355,1302,0.28294118,0.46176471,0.25529412
5200,1474,2393,1333,0.28346154,0.46019231,0.25634615
5300,1501,2444,1355,0.28320755,0.46113208,0.25566038
5400,1535,2483,1382,0.28425926,0.45981481,0.25592593
5500,1574,2526,1400,0.28618182,0.45927273,0.25454545
5600,1603,2566,1431,0.28625000,0.45821429,0.25553571
5700,1635,2610,1455,0.28684211,0.45789474,0.25526316
5800,1666,2655,1479,0.28724138,0.45775862,0.25500000
5900,1697,2695,1508,0.28762712,0.45677966,0.25559322
6000,1729,2741,1530,0.28816667,0.45683333,0.25500000
6100,1757,2787,1556,0.28803279,0.45688525,0.25508197
6200,1783,2838,1579,0.28758065,0.45774194,0.25467742
6300,1803,2890,1607,0.28619048,0.45873016,0.25507937
6400,1836,2932,1632,0.28687500,0.45812500,0.25500000
6500,1868,2973,1659,0.28738462,0.45738462,0.25523077
6600,1902,3016,1682,0.28818182,0.45696970,0.25484848
6700,1938,3059,1703,0.28925373,0.45656716,0.25417910
6800,1960,3112,1728,0.28823529,0.45764706,0.25411765
6900,1986,3153,1761,0.28782609,0.45695652,0.25521739
7000,2017,3200,1783,0.28814286,0.45714286,0.25471429
7100,2046,3239,1815,0.28816901,0.45619718,0.25563380
7200,2076,3285,1839,0.28833333,0.45625000,0.25541667
7300,2110,3330,1860,0.28904110,0.45616438,0.25479452
7400,2139,3374,1887,0.28905405,0.45594595,0.25500000
7500,2167,3414,1919,0.28893333,0.45520000,0.25586667
7600,2195,3463,1942,0.28881579,0.45565789,0.25552632
7700,2232,3498,1970,0.28987013,0.45428571,0.25584416
7800,2262,3547,1991,0.29000000,0.45474359,0.25525641
7900,2289,3598,2013,0.28974684,0.45544304,0.25481013
8000,2320,3644,2036,0.29000000,0.45550000,0.25450000
8100,2349,3691,2060,0.29000000,0.45567901,0.25432099
8200,2383,3739,2078,0.29060976,0.45597561,0.25341463
8300,2414,3785,2101,0.29084337,0.45602410,0.25313253
8400,2448,3824,2128,0.29142857,0.45523810,0.25333333
8500,2478,3867,2155,0.29152941,0.45494118,0.25352941
8600,2510,3917,2173,0.29186047,0.45546512,0.25267442
8700,2539,3957,2204,0.29183908,0.45482759,0.25333333
8800,2567,3998,2235,0.29170455,0.45431818,0.25397727
8900,2594,4044,2262,0.29146067,0.45438202,0.25415730
9000,2620,4090,2290,0.29111111,0.45444444,0.25444444
9100,2647,4137,2316,0.29087912,0.45461538,0.25450549
9200,2678,4191,2331,0.29108696,0.45554348,0.25336957
9300,2712,4240,2348,0.29161290,0.45591398,0.25247312
9400,2732,4286,2382,0.29063830,0.45595745,0.25340426
9500,2762,4332,2406,0.29073684,0.45600000,0.25326316
9600,2795,4371,2434,0.29114583,0.45531250,0.25354167
9700,2821,4421,2458,0.29082474,0.45577320,0.25340206
9800,2854,4463,2483,0.29122449,0.45540816,0.25336735
9900,2884,4508,2508,0.29131313,0.45535354,0.25333333
10000,2919,4548,2533,0.29190000,0.45480000,0.25330000
10100,2949,4586,2565,0.29198020,0.45405941,0.25396040
10200,2980,4633,2587,0.29215686,0.45421569,0.25362745
10300,3017,4669,2614,0.29291262,0.45330097,0.25378641
10400,3050,4711,2639,0.29326923,0.45298077,0.25375000
10500,3081,4761,2658,0.29342857,0.45342857,0.25314286
10600,3109,4809,2682,0.29330189,0.45367925,0.25301887
10700,3132,4860,2708,0.29271028,0.45420561,0.25308411
10800,3164,4900,2736,0.29296296,0.45370370,0.25333333
10900,3197,4945,2758,0.29330275,0.45366972,0.25302752
11000,3231,4986,2783,0.29372727,0.45327273,0.25300000
11100,3269,5030,2801,0.29450450,0.45315315,0.25234234
11200,3304,5068,2828,0.29500000,0.45250000,0.25250000
11300,3331,5113,2856,0.29477876,0.45247788,0.25274336
11400,3367,5155,2878,0.29535088,0.45219298,0.25245614
11500,3402,5196,2902,0.29582609,0.45182609,0.25234783
11600,3437,5238,2925,0.29629310,0.45155172,0.25215517
11700,3468,5282,2950,0.29641026,0.45145299,0.25213675
11800,3502,5327,2971,0.29677966,0.45144068,0.25177966
11900,3537,5375,2988,0.29722689,0.45168067,0.25109244
12000,3563,5430,3007,0.29691667,0.45250000,0.25058333
12100,3595,5474,3031,0.29710744,0.45239669,0.25049587
12200,3627,5512,3061,0.29729508,0.45180328,0.25090164
12300,3657,5558,3085,0.29731707,0.45186992,0.25081301
12400,3693,5598,3109,0.29782258,0.45145161,0.25072581
12500,3718,5650,3132,0.29744000,0.45200000,0.25056000
12600,3745,5696,3159,0.29722222,0.45206349,0.25071429
12700,3776,5736,3188,0.29732283,0.45165354,0.25102362
12800,3810,5784,3206,0.29765625,0.45187500,0.25046875
12900,3836,5834,3230,0.29736434,0.45224806,0.25038760
13000,3864,5882,3254,0.29723077,0.45246154,0.25030769
13100,3897,5920,3283,0.29748092,0.45190840,0.25061069
13200,3917,5964,3319,0.29674242,0.45181818,0.25143939
13300,3948,6010,3342,0.29684211,0.45187970,0.25127820
13400,3975,6060,3365,0.29664179,0.45223881,0.25111940
13500,4002,6104,3394,0.29644444,0.45214815,0.25140741
13600,4034,6151,3415,0.29661765,0.45227941,0.25110294
13700,4060,6199,3441,0.29635036,0.45248175,0.25116788
13800,4087,6252,3461,0.29615942,0.45304348,0.25079710
13900,4117,6296,3487,0.29618705,0.45294964,0.25086331
14000,4151,6339,3510,0.29650000,0.45278571,0.25071429
14100,4181,6379,3540,0.29652482,0.45241135,0.25106383
14200,4214,6425,3561,0.29676056,0.45246479,0.25077465
14300,4240,6472,3588,0.29650350,0.45258741,0.25090909
14400,4266,6521,3613,0.29625000,0.45284722,0.25090278
14500,4299,6565,3636,0.29648276,0.45275862,0.25075862
14600,4333,6612,3655,0.29678082,0.45287671,0.25034247
14700,4367,6654,3679,0.29707483,0.45265306,0.25027211
14800,4405,6688,3707,0.29763514,0.45189189,0.25047297
14900,4427,6738,3735,0.29711409,0.45221477,0.25067114
15000,4454,6785,3761,0.29693333,0.45233333,0.25073333
15100,4482,6821,3797,0.29682119,0.45172185,0.25145695
