k,r,b,t,r_frac,b_frac,t_frac
9600,2718,3832,3050,0.28312500,0.39916667,0.31770833
9700,2744,3870,3086,0.28288660,0.39896907,0.31814433
9800,2772,3909,3119,0.28285714,0.39887755,0.31826531
9900,2799,3947,3154,0.28272727,0.39868687,0.31858586
10000,2825,3991,3184,0.28250000,0.39910000,0.31840000
10100,2853,4032,3215,0.28247525,0.39920792,0.31831683
10200,2886,4075,3239,0.28294118,0.39950980,0.31754902
10300,2917,4114,3269,0.28320388,0.39941748,0.31737864
10400,2938,4152,3310,0.28250000,0.39923077,0.31826923
10500,2964,4193,3343,0.28228571,0.39933333,0.31838095
10600,2993,4231,3376,0.28235849,0.39915094,0.31849057
10700,3022,4273,3405,0.28242991,0.39934579,0.31822430
10800,3050,4315,3435,0.28240741,0.39953704,0.31805556
10900,3081,4352,3467,0.28266055,0.39926606,0.31807339
11000,3110,4394,3496,0.28272727,0.39945455,0.31781818
11100,3143,4426,3531,0.28315315,0.39873874,0.31810811
11200,3180,4455,3565,0.28392857,0.39776786,0.31830357
11300,3207,4490,3603,0.28380531,0.39734513,0.31884956
11400,3240,4526,3634,0.28421053,0.39701754,0.31877193
11500,3275,4558,3667,0.28478261,0.39634783,0.31886957
11600,3306,4600,3694,0.28500000,0.39655172,0.31844828
11700,3334,4648,3718,0.28495726,0.39726496,0.31777778
11800,3361,4694,3745,0.28483051,0.39779661,0.31737288
11900,3383,4744,3773,0.28428571,0.39865546,0.31705882
12000,3414,4784,3802,0.28450000,0.39866667,0.31683333
12100,3443,4825,3832,0.28454545,0.39876033,0.31669421
12200,3475,4868,3857,0.28483607,0.39901639,0.31614754
12300,3514,4907,3879,0.28569106,0.39894309,0.31536585
12400,3551,4943,3906,0.28637097,0.39862903,0.31500000
12500,3580,4978,3942,0.28640000,0.39824000,0.31536000
12600,3612,5012,3976,0.28666667,0.39777778,0.31555556
12700,3644,5054,4002,0.28692913,0.39795276,0.31511811
12800,3677,5099,4024,0.28726563,0.39835938,0.31437500
12900,3707,5136,4057,0.28736434,0.39813953,0.31449612
13000,3735,5176,4089,0.28730769,0.39815385,0.31453846
13100,3771,5220,4109,0.28786260,0.39847328,0.31366412
13200,3803,5261,4136,0.28810606,0.39856061,0.31333333
13300,3827,5306,4167,0.28774436,0.39894737,0.31330827
13400,3855,5355,4190,0.28768657,0.39962687,0.31268657
13500,3889,5392,4219,0.28807407,0.39940741,0.31251852
13600,3919,5431,4250,0.28816176,0.39933824,0.31250000
13700,3948,5470,4282,0.28817518,0.39927007,0.31255474
13800,3985,5503,4312,0.28876812,0.39876812,0.31246377
13900,4012,5552,4336,0.28863309,0.39942446,0.31194245
14000,4039,5596,4365,0.28850000,0.39971429,0.31178571
14100,4069,5626,4405,0.28858156,0.39900709,0.31241135
14200,4103,5665,4432,0.28894366,0.39894366,0.31211268
14300,4130,5707,4463,0.28881119,0.39909091,0.31209790
14400,4156,5752,4492,0.28861111,0.39944444,0.31194444
14500,4183,5789,4528,0.28848276,0.39924138,0.31227586
14600,4217,5828,4555,0.28883562,0.39917808,0.31198630
14700,4239,5858,4603,0.28836735,0.39850340,0.31312925
14800,4270,5897,4633,0.28851351,0.39844595,0.31304054
14900,4294,5931,4675,0.28818792,0.39805369,0.31375839
15000,4321,5970,4709,0.28806667,0.39800000,0.31393333
15100,4352,6011,4737,0.28821192,0.39807947,0.31370861
15200,4379,6053,4768,0.28809211,0.39822368,0.31368421
15300,4402,6096,4802,0.28771242,0.39843137,0.31385621
