k,r,b,t,r_frac,b_frac,t_frac
100,18,10,72,0.18000000,0.10000000,0.72000000
200,25,23,152,0.12500000,0.11500000,0.76000000
300,39,37,224,0.13000000,0.12333333,0.74666667
400,50,43,307,0.12500000,0.10750000,0.76750000
500,66,56,378,0.13200000,0.11200000,0.75600000
600,82,59,459,0.13666667,0.09833333,0.76500000
700,95,71,534,0.13571429,0.10142857,0.76285714
800,108,85,607,0.13500000,0.10625000,0.75875000
900,131,93,676,0.14555556,0.10333333,0.75111111
1000,146,103,751,0.14600000,0.10300000,0.75100000
1100,165,114,821,0.15000000,0.10363636,0.74636364
1200,177,124,899,0.14750000,0.10333333,0.74916667
1300,190,133,977,0.14615385,0.10230769,0.75153846
1400,206,141,1053,0.14714286,0.10071429,0.75214286
1500,213,159,1128,0.14200000,0.10600000,0.75200000
1600,226,164,1210,0.14125000,0.10250000,0.75625000
1700,240,177,1283,0.14117647,0.10411765,0.75470588
1800,255,187,1358,0.14166667,0.10388889,0.75444444
1900,270,197,1433,0.14210526,0.10368421,0.75421053
2000,289,209,1502,0.14450000,0.10450000,0.75100000
2100,304,221,1575,0.14476190,0.10523810,0.75000000
2200,322,233,1645,0.14636364,0.10590909,0.74772727
2300,341,246,1713,0.14826087,0.10695652,0.74478261
2400,353,261,1786,0.14708333,0.10875000,0.74416667
2500,365,272,1863,0.14600000,0.10880000,0.74520000
2600,383,283,1934,0.14730769,0.10884615,0.74384615
2700,401,291,2008,0.14851852,0.10777778,0.74370370
2800,415,308,2077,0.14821429,0.11000000,0.74178571
2900,430,318,2152,0.14827586,0.10965517,0.74206897
3000,443,333,2224,0.14766667,0.11100000,0.74133333
3100,458,343,2299,0.14774194,0.11064516,0.74161290
3200,474,349,2377,0.14812500,0.10906250,0.74281250
3300,483,360,2457,0.14636364,0.10909091,0.74454545
3400,499,367,2534,0.14676471,0.10794118,0.74529412
3500,509,380,2611,0.14542857,0.10857143,0.74600000
3600,526,387,2687,0.14611111,0.10750000,0.74638889
3700,550,398,2752,0.14864865,0.10756757,0.74378378
3800,564,414,2822,0.14842105,0.10894737,0.74263158
3900,575,425,2900,0.14743590,0.10897436,0.74358974
4000,591,433,2976,0.14775000,0.10825000,0.74400000
4100,608,440,3052,0.14829268,0.10731707,0.74439024
4200,622,454,3124,0.14809524,0.10809524,0.74380952
4300,641,462,3197,0.14906977,0.10744186,0.74348837
4400,653,475,3272,0.14840909,0.10795455,0.74363636
4500,660,493,3347,0.14666667,0.10955556,0.74377778
4600,672,506,3422,0.14608696,0.11000000,0.74391304
4700,689,518,3493,0.14659574,0.11021277,0.74319149
4800,703,531,3566,0.14645833,0.11062500,0.74291667
