k,r,b,t,r_frac,b_frac,t_frac
100,29,38,33,0.29000000,0.38000000,0.33000000
200,55,74,71,0.27500000,0.37000000,0.35500000
300,78,111,111,0.26000000,0.37000000,0.37000000
400,112,147,141,0.28000000,0.36750000,0.35250000
500,143,184,173,0.28600000,0.36800000,0.34600000
600,170,215,215,0.28333333,0.35833333,0.35833333
700,192,251,257,0.27428571,0.35857143,0.36714286
800,217,283,300,0.27125000,0.35375000,0.37500000
900,244,310,346,0.27111111,0.34444444,0.38444444
1000,271,333,396,0.27100000,0.33300000,0.39600000
1100,295,374,431,0.26818182,0.34000000,0.39181818
1200,332,401,467,0.27666667,0.33416667,0.38916667
1300,363,435,502,0.27923077,0.33461538,0.38615385
1400,393,476,531,0.28071429,0.34000000,0.37928571
1500,417,511,572,0.27800000,0.34066667,0.38133333
1600,440,542,618,0.27500000,0.33875000,0.38625000
1700,470,573,657,0.27647059,0.33705882,0.38647059
1800,501,606,693,0.27833333,0.33666667,0.38500000
1900,530,632,738,0.27894737,0.33263158,0.38842105
2000,557,669,774,0.27850000,0.33450000,0.38700000
2100,583,702,815,0.27761905,0.33428571,0.38809524
2200,609,736,855,0.27681818,0.33454545,0.38863636
2300,636,773,891,0.27652174,0.33608696,0.38739130
2400,665,806,929,0.27708333,0.33583333,0.38708333
2500,694,839,967,0.27760000,0.33560000,0.38680000
2600,723,870,1007,0.27807692,0.33461538,0.38730769
2700,749,902,1049,0.27740741,0.33407407,0.38851852
2800,768,944,1088,0.27428571,0.33714286,0.38857143
2900,797,982,1121,0.27482759,0.33862069,0.38655172
3000,829,1020,1151,0.27633333,0.34000000,0.38366667
3100,852,1056,1192,0.27483871,0.34064516,0.38451613
3200,871,1093,1236,0.27218750,0.34156250,0.38625000
3300,895,1129,1276,0.27121212,0.34212121,0.38666667
3400,923,1166,1311,0.27147059,0.34294118,0.38558824
3500,951,1199,1350,0.27171429,0.34257143,0.38571429
3600,973,1237,1390,0.27027778,0.34361111,0.38611111
3700,990,1281,1429,0.26756757,0.34621622,0.38621622
3800,1013,1321,1466,0.26657895,0.34763158,0.38578947
3900,1034,1359,1507,0.26512821,0.34846154,0.38641026
4000,1062,1391,1547,0.26550000,0.34775000,0.38675000
4100,1085,1429,1586,0.26463415,0.34853659,0.38682927
4200,1103,1469,1628,0.26261905,0.34976190,0.38761905
4300,1129,1500,1671,0.26255814,0.34883721,0.38860465
4400,1156,1534,1710,0.26272727,0.34863636,0.38863636
4500,1179,1579,1742,0.26200000,0.35088889,0.38711111
4600,1204,1618,1778,0.26173913,0.35173913,0.38652174
4700,1237,1652,1811,0.26319149,0.35148936,0.38531915
4800,1266,1682,1852,0.26375000,0.35041667,0.38583333
4900,1293,1716,1891,0.26387755,0.35020408,0.38591837
5000,1314,1755,1931,0.26280000,0.35100000,0.38620000
5100,1345,1788,1967,0.26372549,0.35058824,0.38568627
5200,1370,1829,2001,0.26346154,0.35173077,0.38480769
5300,1400,1862,2038,0.26415094,0.35132075,0.38452830
5400,1429,1887,2084,0.26462963,0.34944444,0.38592593
5500,1450,1932,2118,0.26363636,0.35127273,0.38509091
5600,1472,1965,2163,0.26285714,0.35089286,0.38625000
5700,1494,1995,2211,0.26210526,0.35000000,0.38789474
5800,1521,2026,2253,0.26224138,0.34931034,0.38844828
5900,1552,2055,2293,0.26305085,0.34830508,0.38864407
6000,1579,2090,2331,0.26316667,0.34833333,0.38850000
6100,1607,2127,2366,0.26344262,0.34868852,0.38786885
6200,1624,2164,2412,0.26193548,0.34903226,0.38903226
6300,1648,2191,2461,0.26158730,0.34777778,0.39063492
6400,1675,2219,2506,0.26171875,0.34671875,0.39156250
6500,1708,2244,2548,0.26276923,0.34523077,0.39200000
6600,1731,2279,2590,0.26227273,0.34530303,0.39242424
6700,1749,2314,2637,0.26104478,0.34537313,0.39358209
6800,1775,2342,2683,0.26102941,0.34441176,0.39455882
6900,1803,2380,2717,0.26130435,0.34492754,0.39376812
7000,1838,2409,2753,0.26257143,0.34414286,0.39328571
7100,1864,2447,2789,0.26253521,0.34464789,0.39281690
7200,1888,2474,2838,0.26222222,0.34361111,0.39416667
7300,1919,2507,2874,0.26287671,0.34342466,0.39369863
7400,1947,2531,2922,0.26310811,0.34202703,0.39486486
7500,1977,2559,2964,0.26360000,0.34120000,0.39520000
7600,2002,2596,3002,0.26342105,0.34157895,0.39500000
7700,2034,2628,3038,0.26415584,0.34129870,0.39454545
7800,2064,2663,3073,0.26461538,0.34141026,0.39397436
7900,2087,2699,3114,0.26417722,0.34164557,0.39417722
8000,2107,2739,3154,0.26337500,0.34237500,0.39425000
8100,2136,2769,3195,0.26370370,0.34185185,0.39444444
8200,2164,2799,3237,0.26390244,0.34134146,0.39475610
8300,2186,2832,3282,0.26337349,0.34120482,0.39542169
8400,2216,2867,3317,0.26380952,0.34130952,0.39488095
8500,2247,2900,3353,0.26435294,0.34117647,0.39447059
8600,2270,2940,3390,0.26395349,0.34186047,0.39418605
8700,2299,2963,3438,0.26425287,0.34057471,0.39517241
8800,2327,2994,3479,0.26443182,0.34022727,0.39534091
8900,2352,3022,3526,0.26426966,0.33955056,0.39617978
9000,2378,3055,3567,0.26422222,0.33944444,0.39633333
9100,2408,3084,3608,0.26461538,0.33890110,0.39648352
9200,2433,3125,3642,0.26445652,0.33967391,0.39586957
9300,2460,3154,3686,0.26451613,0.33913978,0.39634409
9400,2483,3192,3725,0.26414894,0.33957447,0.39627660
9500,2508,3224,3768,0.26400000,0.33936842,0.39663158
9600,2531,3250,3819,0.26364583,0.33854167,0.39781250
9700,2566,3281,3853,0.26453608,0.33824742,0.39721649
9800,2594,3318,3888,0.26469388,0.33857143,0.39673469
9900,2622,3355,3923,0.26484848,0.33888889,0.39626263
10000,2649,3392,3959,0.26490000,0.33920000,0.39590000
10100,2677,3429,3994,0.26504950,0.33950495,0.39544554
10200,2698,3465,4037,0.26450980,0.33970588,0.39578431
10300,2722,3492,4086,0.26427184,0.33902913,0.39669903
10400,2744,3535,4121,0.26384615,0.33990385,0.39625000
10500,2776,3570,4154,0.26438095,0.34000000,0.39561905
10600,2805,3602,4193,0.26462264,0.33981132,0.39556604
10700,2832,3633,4235,0.26467290,0.33953271,0.39579439
10800,2860,3673,4267,0.26481481,0.34009259,0.39509259
10900,2895,3704,4301,0.26559633,0.33981651,0.39458716
11000,2918,3742,4340,0.26527273,0.34018182,0.39454545
11100,2939,3775,4386,0.26477477,0.34009009,0.39513514
11200,2959,3825,4416,0.26419643,0.34151786,0.39428571
11300,2988,3853,4459,0.26442478,0.34097345,0.39460177
11400,3011,3894,4495,0.26412281,0.34157895,0.39429825
11500,3040,3929,4531,0.26434783,0.34165217,0.39400000
