k,r,b,t,r_frac,b_frac,t_frac
100,10,6,84,0.10000000,0.06000000,0.84000000
200,16,9,175,0.08000000,0.04500000,0.87500000
300,21,17,262,0.07000000,0.05666667,0.87333333
400,30,25,345,0.07500000,0.06250000,0.86250000
500,38,31,431,0.07600000,0.06200000,0.86200000
600,43,36,521,0.07166667,0.06000000,0.86833333
700,51,41,608,0.07285714,0.05857143,0.86857143
800,57,50,693,0.07125000,0.06250000,0.86625000
900,70,55,775,0.07777778,0.06111111,0.86111111
1000,78,60,862,0.07800000,0.06000000,0.86200000
1100,87,67,946,0.07909091,0.06090909,0.86000000
1200,95,72,1033,0.07916667,0.06000000,0.86083333
1300,112,77,1111,0.08615385,0.05923077,0.85461538
1400,121,83,1196,0.08642857,0.05928571,0.85428571
1500,133,89,1278,0.08866667,0.05933333,0.85200000
1600,145,93,1362,0.09062500,0.05812500,0.85125000
1700,152,99,1449,0.08941176,0.05823529,0.85235294
1800,158,101,1541,0.08777778,0.05611111,0.85611111
1900,166,106,1628,0.08736842,0.05578947,0.85684211
2000,175,111,1714,0.08750000,0.05550000,0.85700000
2100,181,115,1804,0.08619048,0.05476190,0.85904762
2200,187,122,1891,0.08500000,0.05545455,0.85954545
2300,195,127,1978,0.08478261,0.05521739,0.86000000
2400,209,134,2057,0.08708333,0.05583333,0.85708333
2500,221,138,2141,0.08840000,0.05520000,0.85640000
2600,230,144,2226,0.08846154,0.05538462,0.85615385
2700,234,148,2318,0.08666667,0.05481481,0.85851852
2800,244,150,2406,0.08714286,0.05357143,0.85928571
2900,254,156,2490,0.08758621,0.05379310,0.85862069
3000,259,166,2575,0.08633333,0.05533333,0.85833333
3100,268,169,2663,0.08645161,0.05451613,0.85903226
3200,282,174,2744,0.08812500,0.05437500,0.85750000
3300,290,179,2831,0.08787879,0.05424242,0.85787879
3400,298,184,2918,0.08764706,0.05411765,0.85823529
3500,305,189,3006,0.08714286,0.05400000,0.85885714
3600,311,195,3094,0.08638889,0.05416667,0.85944444
3700,318,203,3179,0.08594595,0.05486486,0.85918919
3800,325,206,3269,0.08552632,0.05421053,0.86026316
3900,336,208,3356,0.08615385,0.05333333,0.86051282
4000,340,215,3445,0.08500000,0.05375000,0.86125000
4100,351,222,3527,0.08560976,0.05414634,0.86024390
4200,360,229,3611,0.08571429,0.05452381,0.85976190
4300,367,232,3701,0.08534884,0.05395349,0.86069767
4400,376,239,3785,0.08545455,0.05431818,0.86022727
4500,386,242,3872,0.08577778,0.05377778,0.86044444
4600,396,245,3959,0.08608696,0.05326087,0.86065217
4700,402,252,4046,0.08553191,0.05361702,0.86085106
4800,409,254,4137,0.08520833,0.05291667,0.86187500
4900,415,259,4226,0.08469388,0.05285714,0.86244898
5000,423,262,4315,0.08460000,0.05240000,0.86300000
5100,429,268,4403,0.08411765,0.05254902,0.86333333
5200,440,272,4488,0.08461538,0.05230769,0.86307692
5300,452,279,4569,0.08528302,0.05264151,0.86207547
5400,465,288,4647,0.08611111,0.05333333,0.86055556
5500,471,296,4733,0.08563636,0.05381818,0.86054545
5600,481,303,4816,0.08589286,0.05410714,0.86000000
5700,486,306,4908,0.08526316,0.05368421,0.86105263
5800,500,311,4989,0.08620690,0.05362069,0.86017241
