k,r,b,t,r_frac,b_frac,t_frac
100,24,22,54,0.24000000,0.22000000,0.54000000
200,52,44,104,0.26000000,0.22000000,0.52000000
300,71,65,164,0.23666667,0.21666667,0.54666667
400,91,84,225,0.22750000,0.21000000,0.56250000
500,114,106,280,0.22800000,0.21200000,0.56000000
600,141,129,330,0.23500000,0.21500000,0.55000000
700,167,151,382,0.23857143,0.21571429,0.54571429
800,187,167,446,0.23375000,0.20875000,0.55750000
900,209,192,499,0.23222222,0.21333333,0.55444444
1000,227,213,560,0.22700000,0.21300000,0.56000000
1100,249,229,622,0.22636364,0.20818182,0.56545455
1200,270,245,685,0.22500000,0.20416667,0.57083333
1300,297,260,743,0.22846154,0.20000000,0.57153846
1400,326,276,798,0.23285714,0.19714286,0.57000000
1500,344,303,853,0.22933333,0.20200000,0.56866667
1600,365,325,910,0.22812500,0.20312500,0.56875000
1700,394,345,961,0.23176471,0.20294118,0.56529412
1800,424,364,1012,0.23555556,0.20222222,0.56222222
1900,446,385,1069,0.23473684,0.20263158,0.56263158
2000,467,404,1129,0.23350000,0.20200000,0.56450000
2100,488,423,1189,0.23238095,0.20142857,0.56619048
2200,506,448,1246,0.23000000,0.20363636,0.56636364
2300,528,467,1305,0.22956522,0.20304348,0.56739130
2400,555,488,1357,0.23125000,0.20333333,0.56541667
2500,580,511,1409,0.23200000,0.20440000,0.56360000
2600,602,531,1467,0.23153846,0.20423077,0.56423077
2700,620,554,1526,0.22962963,0.20518519,0.56518519
2800,649,570,1581,0.23178571,0.20357143,0.56464286
2900,669,595,1636,0.23068966,0.20517241,0.56413793
3000,685,611,1704,0.22833333,0.20366667,0.56800000
3100,714,637,1749,0.23032258,0.20548387,0.56419355
3200,737,660,1803,0.23031250,0.20625000,0.56343750
3300,758,682,1860,0.22969697,0.20666667,0.56363636
3400,779,705,1916,0.22911765,0.20735294,0.56352941
3500,803,735,1962,0.22942857,0.21000000,0.56057143
3600,828,753,2019,0.23000000,0.20916667,0.56083333
3700,851,769,2080,0.23000000,0.20783784,0.56216216
3800,872,792,2136,0.22947368,0.20842105,0.56210526
3900,893,813,2194,0.22897436,0.20846154,0.56256410
4000,910,832,2258,0.22750000,0.20800000,0.56450000
4100,933,857,2310,0.22756098,0.20902439,0.56341463
4200,959,881,2360,0.22833333,0.20976190,0.56190476
4300,978,906,2416,0.22744186,0.21069767,0.56186047
4400,994,936,2470,0.22590909,0.21272727,0.56136364
4500,1011,957,2532,0.22466667,0.21266667,0.56266667
4600,1035,983,2582,0.22500000,0.21369565,0.56130435
4700,1055,1006,2639,0.22446809,0.21404255,0.56148936
4800,1078,1031,2691,0.22458333,0.21479167,0.56062500
4900,1102,1055,2743,0.22489796,0.21530612,0.55979592
5000,1115,1075,2810,0.22300000,0.21500000,0.56200000
5100,1133,1097,2870,0.22215686,0.21509804,0.56274510
5200,1164,1118,2918,0.22384615,0.21500000,0.56115385
5300,1178,1145,2977,0.22226415,0.21603774,0.56169811
5400,1190,1170,3040,0.22037037,0.21666667,0.56296296
5500,1210,1198,3092,0.22000000,0.21781818,0.56218182
5600,1233,1219,3148,0.22017857,0.21767857,0.56214286
5700,1255,1241,3204,0.22017544,0.21771930,0.56210526
5800,1273,1266,3261,0.21948276,0.21827586,0.56224138
5900,1282,1284,3334,0.21728814,0.21762712,0.56508475
6000,1304,1304,3392,0.21733333,0.21733333,0.56533333
6100,1328,1334,3438,0.21770492,0.21868852,0.56360656
6200,1344,1360,3496,0.21677419,0.21935484,0.56387097
6300,1366,1383,3551,0.21682540,0.21952381,0.56365079
6400,1390,1405,3605,0.21718750,0.21953125,0.56328125
6500,1412,1434,3654,0.21723077,0.22061538,0.56215385
6600,1435,1454,3711,0.21742424,0.22030303,0.56227273
6700,1459,1475,3766,0.21776119,0.22014925,0.56208955
6800,1477,1499,3824,0.21720588,0.22044118,0.56235294
6900,1496,1522,3882,0.21681159,0.22057971,0.56260870
7000,1520,1542,3938,0.21714286,0.22028571,0.56257143
7100,1545,1563,3992,0.21760563,0.22014085,0.56225352
7200,1570,1590,4040,0.21805556,0.22083333,0.56111111
7300,1589,1617,4094,0.21767123,0.22150685,0.56082192
7400,1621,1637,4142,0.21905405,0.22121622,0.55972973
7500,1651,1655,4194,0.22013333,0.22066667,0.55920000
7600,1670,1680,4250,0.21973684,0.22105263,0.55921053
7700,1682,1708,4310,0.21844156,0.22181818,0.55974026
7800,1696,1725,4379,0.21743590,0.22115385,0.56141026
7900,1715,1744,4441,0.21708861,0.22075949,0.56215190
8000,1735,1760,4505,0.21687500,0.22000000,0.56312500
8100,1754,1782,4564,0.21654321,0.22000000,0.56345679
8200,1778,1796,4626,0.21682927,0.21902439,0.56414634
8300,1798,1816,4686,0.21662651,0.21879518,0.56457831
8400,1824,1835,4741,0.21714286,0.21845238,0.56440476
8500,1847,1856,4797,0.21729412,0.21835294,0.56435294
8600,1861,1876,4863,0.21639535,0.21813953,0.56546512
8700,1883,1894,4923,0.21643678,0.21770115,0.56586207
8800,1903,1912,4985,0.21625000,0.21727273,0.56647727
8900,1931,1925,5044,0.21696629,0.21629213,0.56674157
9000,1958,1944,5098,0.21755556,0.21600000,0.56644444
9100,1979,1960,5161,0.21747253,0.21538462,0.56714286
