k,r,b,t,r_frac,b_frac,t_frac
100,25,26,49,0.25000000,0.26000000,0.49000000
200,51,49,100,0.25500000,0.24500000,0.50000000
300,72,77,151,0.24000000,0.25666667,0.50333333
400,94,98,208,0.23500000,0.24500000,0.52000000
500,121,121,258,0.24200000,0.24200000,0.51600000
600,149,151,300,0.24833333,0.25166667,0.50000000
700,173,173,354,0.24714286,0.24714286,0.50571429
800,195,199,406,0.24375000,0.24875000,0.50750000
900,215,222,463,0.23888889,0.24666667,0.51444444
1000,234,247,519,0.23400000,0.24700000,0.51900000
1100,259,269,572,0.23545455,0.24454545,0.52000000
1200,288,288,624,0.24000000,0.24000000,0.52000000
1300,317,306,677,0.24384615,0.23538462,0.52076923
1400,332,337,731,0.23714286,0.24071429,0.52214286
1500,359,362,779,0.23933333,0.24133333,0.51933333
1600,384,382,834,0.24000000,0.23875000,0.52125000
1700,419,402,879,0.24647059,0.23647059,0.51705882
1800,440,425,935,0.24444444,0.23611111,0.51944444
1900,462,442,996,0.24315789,0.23263158,0.52421053
2000,478,469,1053,0.23900000,0.23450000,0.52650000
2100,501,490,1109,0.23857143,0.23333333,0.52809524
2200,528,515,1157,0.24000000,0.23409091,0.52590909
2300,554,542,1204,0.24086957,0.23565217,0.52347826
2400,579,561,1260,0.24125000,0.23375000,0.52500000
2500,600,584,1316,0.24000000,0.23360000,0.52640000
2600,627,607,1366,0.24115385,0.23346154,0.52538462
2700,645,631,1424,0.23888889,0.23370370,0.52740741
2800,665,657,1478,0.23750000,0.23464286,0.52785714
2900,689,683,1528,0.23758621,0.23551724,0.52689655
3000,713,712,1575,0.23766667,0.23733333,0.52500000
3100,739,734,1627,0.23838710,0.23677419,0.52483871
3200,762,767,1671,0.23812500,0.23968750,0.52218750
3300,786,788,1726,0.23818182,0.23878788,0.52303030
3400,811,808,1781,0.23852941,0.23764706,0.52382353
3500,834,832,1834,0.23828571,0.23771429,0.52400000
3600,852,853,1895,0.23666667,0.23694444,0.52638889
3700,870,877,1953,0.23513514,0.23702703,0.52783784
3800,895,905,2000,0.23552632,0.23815789,0.52631579
3900,923,933,2044,0.23666667,0.23923077,0.52410256
4000,945,958,2097,0.23625000,0.23950000,0.52425000
4100,962,992,2146,0.23463415,0.24195122,0.52341463
4200,978,1016,2206,0.23285714,0.24190476,0.52523810
4300,1001,1038,2261,0.23279070,0.24139535,0.52581395
4400,1026,1068,2306,0.23318182,0.24272727,0.52409091
4500,1053,1094,2353,0.23400000,0.24311111,0.52288889
4600,1073,1119,2408,0.23326087,0.24326087,0.52347826
4700,1086,1146,2468,0.23106383,0.24382979,0.52510638
4800,1117,1170,2513,0.23270833,0.24375000,0.52354167
4900,1134,1195,2571,0.23142857,0.24387755,0.52469388
5000,1147,1228,2625,0.22940000,0.24560000,0.52500000
5100,1168,1257,2675,0.22901961,0.24647059,0.52450980
5200,1194,1280,2726,0.22961538,0.24615385,0.52423077
5300,1212,1302,2786,0.22867925,0.24566038,0.52566038
5400,1225,1332,2843,0.22685185,0.24666667,0.52648148
5500,1242,1354,2904,0.22581818,0.24618182,0.52800000
5600,1260,1383,2957,0.22500000,0.24696429,0.52803571
5700,1284,1413,3003,0.22526316,0.24789474,0.52684211
5800,1302,1438,3060,0.22448276,0.24793103,0.52758621
5900,1325,1464,3111,0.22457627,0.24813559,0.52728814
6000,1347,1495,3158,0.22450000,0.24916667,0.52633333
6100,1371,1514,3215,0.22475410,0.24819672,0.52704918
6200,1398,1537,3265,0.22548387,0.24790323,0.52661290
6300,1420,1566,3314,0.22539683,0.24857143,0.52603175
6400,1440,1591,3369,0.22500000,0.24859375,0.52640625
6500,1469,1610,3421,0.22600000,0.24769231,0.52630769
6600,1499,1638,3463,0.22712121,0.24818182,0.52469697
6700,1517,1666,3517,0.22641791,0.24865672,0.52492537
6800,1549,1688,3563,0.22779412,0.24823529,0.52397059
6900,1578,1710,3612,0.22869565,0.24782609,0.52347826
7000,1598,1734,3668,0.22828571,0.24771429,0.52400000
7100,1614,1764,3722,0.22732394,0.24845070,0.52422535
7200,1635,1784,3781,0.22708333,0.24777778,0.52513889
7300,1658,1803,3839,0.22712329,0.24698630,0.52589041
7400,1676,1823,3901,0.22648649,0.24635135,0.52716216
7500,1698,1843,3959,0.22640000,0.24573333,0.52786667
7600,1721,1867,4012,0.22644737,0.24565789,0.52789474
7700,1744,1885,4071,0.22649351,0.24480519,0.52870130
7800,1773,1909,4118,0.22730769,0.24474359,0.52794872
7900,1790,1930,4180,0.22658228,0.24430380,0.52911392
8000,1809,1953,4238,0.22612500,0.24412500,0.52975000
8100,1831,1972,4297,0.22604938,0.24345679,0.53049383
8200,1858,1987,4355,0.22658537,0.24231707,0.53109756
8300,1887,2006,4407,0.22734940,0.24168675,0.53096386
8400,1908,2027,4465,0.22714286,0.24130952,0.53154762
8500,1923,2052,4525,0.22623529,0.24141176,0.53235294
8600,1945,2075,4580,0.22616279,0.24127907,0.53255814
8700,1975,2091,4634,0.22701149,0.24034483,0.53264368
8800,1991,2115,4694,0.22625000,0.24034091,0.53340909
8900,2020,2138,4742,0.22696629,0.24022472,0.53280899
9000,2052,2157,4791,0.22800000,0.23966667,0.53233333
9100,2073,2175,4852,0.22780220,0.23901099,0.53318681
9200,2090,2215,4895,0.22717391,0.24076087,0.53206522
9300,2115,2241,4944,0.22741935,0.24096774,0.53161290
9400,2145,2263,4992,0.22819149,0.24074468,0.53106383
9500,2171,2281,5048,0.22852632,0.24010526,0.53136842
9600,2201,2296,5103,0.22927083,0.23916667,0.53156250
9700,2224,2321,5155,0.22927835,0.23927835,0.53144330
9800,2241,2354,5205,0.22867347,0.24020408,0.53112245
9900,2267,2381,5252,0.22898990,0.24050505,0.53050505
10000,2294,2409,5297,0.22940000,0.24090000,0.52970000
10100,2313,2432,5355,0.22900990,0.24079208,0.53019802
10200,2335,2454,5411,0.22892157,0.24058824,0.53049020
10300,2359,2482,5459,0.22902913,0.24097087,0.53000000
10400,2385,2506,5509,0.22932692,0.24096154,0.52971154
10500,2407,2532,5561,0.22923810,0.24114286,0.52961905
10600,2430,2559,5611,0.22924528,0.24141509,0.52933962
10700,2454,2581,5665,0.22934579,0.24121495,0.52943925
10800,2474,2606,5720,0.22907407,0.24129630,0.52962963
10900,2500,2627,5773,0.22935780,0.24100917,0.52963303
11000,2523,2649,5828,0.22936364,0.24081818,0.52981818
11100,2537,2677,5886,0.22855856,0.24117117,0.53027027
11200,2563,2698,5939,0.22883929,0.24089286,0.53026786
11300,2584,2720,5996,0.22867257,0.24070796,0.53061947
11400,2606,2747,6047,0.22859649,0.24096491,0.53043860
11500,2627,2770,6103,0.22843478,0.24086957,0.53069565
11600,2649,2798,6153,0.22836207,0.24120690,0.53043103
11700,2678,2815,6207,0.22888889,0.24059829,0.53051282
11800,2700,2843,6257,0.22881356,0.24093220,0.53025424
11900,2726,2871,6303,0.22907563,0.24126050,0.52966387
12000,2748,2890,6362,0.22900000,0.24083333,0.53016667
12100,2773,2911,6416,0.22917355,0.24057851,0.53024793
12200,2799,2930,6471,0.22942623,0.24016393,0.53040984
12300,2817,2959,6524,0.22902439,0.24056911,0.53040650
12400,2838,2985,6577,0.22887097,0.24072581,0.53040323
12500,2867,3008,6625,0.22936000,0.24064000,0.53000000
12600,2894,3031,6675,0.22968254,0.24055556,0.52976190
12700,2921,3057,6722,0.23000000,0.24070866,0.52929134
12800,2943,3083,6774,0.22992187,0.24085937,0.52921875
12900,2964,3116,6820,0.22976744,0.24155039,0.52868217
13000,2991,3136,6873,0.23007692,0.24123077,0.52869231
13100,3007,3166,6927,0.22954198,0.24167939,0.52877863
