k,r,b,t,r_frac,b_frac,t_frac
100,28,32,40,0.28000000,0.32000000,0.40000000
200,53,64,83,0.26500000,0.32000000,0.41500000
300,78,99,123,0.26000000,0.33000000,0.41000000
400,108,130,162,0.27000000,0.32500000,0.40500000
500,141,165,194,0.28200000,0.33000000,0.38800000
600,165,199,236,0.27500000,0.33166667,0.39333333
700,189,232,279,0.27000000,0.33142857,0.39857143
800,213,262,325,0.26625000,0.32750000,0.40625000
900,238,293,369,0.26444444,0.32555556,0.41000000
1000,267,316,417,0.26700000,0.31600000,0.41700000
1100,298,347,455,0.27090909,0.31545455,0.41363636
1200,324,381,495,0.27000000,0.31750000,0.41250000
1300,352,406,542,0.27076923,0.31230769,0.41692308
1400,385,436,579,0.27500000,0.31142857,0.41357143
1500,411,472,617,0.27400000,0.31466667,0.41133333
1600,433,510,657,0.27062500,0.31875000,0.41062500
1700,456,537,707,0.26823529,0.31588235,0.41588235
1800,488,566,746,0.27111111,0.31444444,0.41444444
1900,519,599,782,0.27315789,0.31526316,0.41157895
2000,547,622,831,0.27350000,0.31100000,0.41550000
2100,578,653,869,0.27523810,0.31095238,0.41380952
2200,600,684,916,0.27272727,0.31090909,0.41636364
2300,621,715,964,0.27000000,0.31086957,0.41913043
2400,651,747,1002,0.27125000,0.31125000,0.41750000
2500,672,778,1050,0.26880000,0.31120000,0.42000000
2600,702,806,1092,0.27000000,0.31000000,0.42000000
2700,732,835,1133,0.27111111,0.30925926,0.41962963
2800,760,865,1175,0.27142857,0.30892857,0.41964286
2900,784,896,1220,0.27034483,0.30896552,0.42068966
3000,799,935,1266,0.26633333,0.31166667,0.42200000
3100,833,968,1299,0.26870968,0.31225806,0.41903226
3200,861,1004,1335,0.26906250,0.31375000,0.41718750
3300,883,1041,1376,0.26757576,0.31545455,0.41696970
3400,899,1074,1427,0.26441176,0.31588235,0.41970588
3500,925,1106,1469,0.26428571,0.31600000,0.41971429
3600,953,1143,1504,0.26472222,0.31750000,0.41777778
3700,979,1173,1548,0.26459459,0.31702703,0.41837838
3800,1001,1209,1590,0.26342105,0.31815789,0.41842105
3900,1020,1250,1630,0.26153846,0.32051282,0.41794872
4000,1044,1284,1672,0.26100000,0.32100000,0.41800000
4100,1062,1319,1719,0.25902439,0.32170732,0.41926829
4200,1086,1351,1763,0.25857143,0.32166667,0.41976190
4300,1110,1383,1807,0.25813953,0.32162791,0.42023256
4400,1129,1420,1851,0.25659091,0.32272727,0.42068182
4500,1151,1452,1897,0.25577778,0.32266667,0.42155556
