k,r,b,t,r_frac,b_frac,t_frac
100,19,9,72,0.19000000,0.09000000,0.72000000
200,34,26,140,0.17000000,0.13000000,0.70000000
300,51,38,211,0.17000000,0.12666667,0.70333333
400,68,48,284,0.17000000,0.12000000,0.71000000
500,86,59,355,0.17200000,0.11800000,0.71000000
600,101,75,424,0.16833333,0.12500000,0.70666667
700,117,88,495,0.16714286,0.12571429,0.70714286
800,142,98,560,0.17750000,0.12250000,0.70000000
900,157,110,633,0.17444444,0.12222222,0.70333333
1000,176,124,700,0.17600000,0.12400000,0.70000000
1100,189,135,776,0.17181818,0.12272727,0.70545455
1200,203,151,846,0.16916667,0.12583333,0.70500000
1300,217,164,919,0.16692308,0.12615385,0.70692308
1400,233,172,995,0.16642857,0.12285714,0.71071429
1500,251,184,1065,0.16733333,0.12266667,0.71000000
1600,267,196,1137,0.16687500,0.12250000,0.71062500
1700,291,204,1205,0.17117647,0.12000000,0.70882353
1800,305,220,1275,0.16944444,0.12222222,0.70833333
1900,326,234,1340,0.17157895,0.12315789,0.70526316
2000,343,249,1408,0.17150000,0.12450000,0.70400000
2100,360,263,1477,0.17142857,0.12523810,0.70333333
2200,374,276,1550,0.17000000,0.12545455,0.70454545
2300,395,295,1610,0.17173913,0.12826087,0.70000000
2400,414,309,1677,0.17250000,0.12875000,0.69875000
2500,438,325,1737,0.17520000,0.13000000,0.69480000
2600,449,340,1811,0.17269231,0.13076923,0.69653846
2700,466,351,1883,0.17259259,0.13000000,0.69740741
2800,483,357,1960,0.17250000,0.12750000,0.70000000
2900,494,370,2036,0.17034483,0.12758621,0.70206897
3000,511,387,2102,0.17033333,0.12900000,0.70066667
3100,526,398,2176,0.16967742,0.12838710,0.70193548
3200,550,409,2241,0.17187500,0.12781250,0.70031250
3300,572,421,2307,0.17333333,0.12757576,0.69909091
3400,584,434,2382,0.17176471,0.12764706,0.70058824
3500,603,445,2452,0.17228571,0.12714286,0.70057143
