k,r,b,t,r_frac,b_frac,t_frac
100,21,15,64,0.21000000,0.15000000,0.64000000
200,42,35,123,0.21000000,0.17500000,0.61500000
300,58,47,195,0.19333333,0.15666667,0.65000000
400,76,59,265,0.19000000,0.14750000,0.66250000
500,95,73,332,0.19000000,0.14600000,0.66400000
600,112,93,395,0.18666667,0.15500000,0.65833333
700,138,108,454,0.19714286,0.15428571,0.64857143
800,160,125,515,0.20000000,0.15625000,0.64375000
900,177,145,578,0.19666667,0.16111111,0.64222222
1000,196,157,647,0.19600000,0.15700000,0.64700000
1100,214,177,709,0.19454545,0.16090909,0.64454545
1200,230,191,779,0.19166667,0.15916667,0.64916667
1300,251,210,839,0.19307692,0.16153846,0.64538462
1400,268,222,910,0.19142857,0.15857143,0.65000000
1500,292,232,976,0.19466667,0.15466667,0.65066667
1600,310,249,1041,0.19375000,0.15562500,0.65062500
1700,331,264,1105,0.19470588,0.15529412,0.65000000
1800,349,283,1168,0.19388889,0.15722222,0.64888889
1900,365,300,1235,0.19210526,0.15789474,0.65000000
2000,390,315,1295,0.19500000,0.15750000,0.64750000
2100,412,327,1361,0.19619048,0.15571429,0.64809524
2200,434,346,1420,0.19727273,0.15727273,0.64545455
2300,455,366,1479,0.19782609,0.15913043,0.64304348
2400,474,376,1550,0.19750000,0.15666667,0.64583333
2500,493,388,1619,0.19720000,0.15520000,0.64760000
2600,506,406,1688,0.19461538,0.15615385,0.64923077
2700,526,418,1756,0.19481481,0.15481481,0.65037037
2800,543,428,1829,0.19392857,0.15285714,0.65321429
2900,570,440,1890,0.19655172,0.15172414,0.65172414
3000,589,455,1956,0.19633333,0.15166667,0.65200000
3100,604,470,2026,0.19483871,0.15161290,0.65354839
3200,629,484,2087,0.19656250,0.15125000,0.65218750
3300,645,501,2154,0.19545455,0.15181818,0.65272727
3400,673,514,2213,0.19794118,0.15117647,0.65088235
3500,684,532,2284,0.19542857,0.15200000,0.65257143
3600,700,546,2354,0.19444444,0.15166667,0.65388889
3700,722,569,2409,0.19513514,0.15378378,0.65108108
3800,738,585,2477,0.19421053,0.15394737,0.65184211
3900,760,601,2539,0.19487179,0.15410256,0.65102564
4000,780,619,2601,0.19500000,0.15475000,0.65025000
4100,802,642,2656,0.19560976,0.15658537,0.64780488
4200,822,662,2716,0.19571429,0.15761905,0.64666667
4300,840,674,2786,0.19534884,0.15674419,0.64790698
4400,862,687,2851,0.19590909,0.15613636,0.64795455
4500,881,698,2921,0.19577778,0.15511111,0.64911111
4600,896,718,2986,0.19478261,0.15608696,0.64913043
4700,915,734,3051,0.19468085,0.15617021,0.64914894
4800,925,754,3121,0.19270833,0.15708333,0.65020833
4900,941,765,3194,0.19204082,0.15612245,0.65183673
5000,958,781,3261,0.19160000,0.15620000,0.65220000
5100,978,799,3323,0.19176471,0.15666667,0.65156863
5200,997,818,3385,0.19173077,0.15730769,0.65096154
5300,1014,838,3448,0.19132075,0.15811321,0.65056604
5400,1028,856,3516,0.19037037,0.15851852,0.65111111
5500,1042,868,3590,0.18945455,0.15781818,0.65272727
5600,1064,888,3648,0.19000000,0.15857143,0.65142857
5700,1083,908,3709,0.19000000,0.15929825,0.65070175
5800,1105,924,3771,0.19051724,0.15931034,0.65017241
5900,1124,941,3835,0.19050847,0.15949153,0.65000000
6000,1141,957,3902,0.19016667,0.15950000,0.65033333
6100,1157,968,3975,0.18967213,0.15868852,0.65163934
6200,1171,983,4046,0.18887097,0.15854839,0.65258065
6300,1191,1003,4106,0.18904762,0.15920635,0.65174603
6400,1207,1018,4175,0.18859375,0.15906250,0.65234375
6500,1220,1039,4241,0.18769231,0.15984615,0.65246154
6600,1234,1056,4310,0.18696970,0.16000000,0.65303030
6700,1252,1076,4372,0.18686567,0.16059701,0.65253731
6800,1272,1096,4432,0.18705882,0.16117647,0.65176471
6900,1288,1116,4496,0.18666667,0.16173913,0.65159420
7000,1304,1129,4567,0.18628571,0.16128571,0.65242857
7100,1320,1147,4633,0.18591549,0.16154930,0.65253521
7200,1332,1162,4706,0.18500000,0.16138889,0.65361111
7300,1349,1182,4769,0.18479452,0.16191781,0.65328767
7400,1368,1200,4832,0.18486486,0.16216216,0.65297297
7500,1388,1220,4892,0.18506667,0.16266667,0.65226667
7600,1400,1234,4966,0.18421053,0.16236842,0.65342105
7700,1423,1252,5025,0.18480519,0.16259740,0.65259740
7800,1434,1272,5094,0.18384615,0.16307692,0.65307692
7900,1453,1292,5155,0.18392405,0.16354430,0.65253165
8000,1472,1308,5220,0.18400000,0.16350000,0.65250000
8100,1490,1325,5285,0.18395062,0.16358025,0.65246914
8200,1509,1340,5351,0.18402439,0.16341463,0.65256098
8300,1529,1355,5416,0.18421687,0.16325301,0.65253012
8400,1545,1371,5484,0.18392857,0.16321429,0.65285714
8500,1564,1383,5553,0.18400000,0.16270588,0.65329412
8600,1588,1397,5615,0.18465116,0.16244186,0.65290698
8700,1613,1416,5671,0.18540230,0.16275862,0.65183908
8800,1625,1439,5736,0.18465909,0.16352273,0.65181818
8900,1644,1454,5802,0.18471910,0.16337079,0.65191011
9000,1671,1473,5856,0.18566667,0.16366667,0.65066667
9100,1691,1490,5919,0.18582418,0.16373626,0.65043956
9200,1707,1510,5983,0.18554348,0.16413043,0.65032609
9300,1719,1526,6055,0.18483871,0.16408602,0.65107527
9400,1730,1546,6124,0.18404255,0.16446809,0.65148936
9500,1749,1556,6195,0.18410526,0.16378947,0.65210526
9600,1763,1571,6266,0.18364583,0.16364583,0.65270833
9700,1782,1583,6335,0.18371134,0.16319588,0.65309278
9800,1798,1603,6399,0.18346939,0.16357143,0.65295918
9900,1815,1611,6474,0.18333333,0.16272727,0.65393939
10000,1836,1624,6540,0.18360000,0.16240000,0.65400000
10100,1854,1641,6605,0.18356436,0.16247525,0.65396040
10200,1874,1658,6668,0.18372549,0.16254902,0.65372549
10300,1895,1674,6731,0.18398058,0.16252427,0.65349515
10400,1904,1691,6805,0.18307692,0.16259615,0.65432692
10500,1920,1701,6879,0.18285714,0.16200000,0.65514286
10600,1939,1716,6945,0.18292453,0.16188679,0.65518868
10700,1959,1733,7008,0.18308411,0.16196262,0.65495327
10800,1984,1747,7069,0.18370370,0.16175926,0.65453704
10900,2002,1758,7140,0.18366972,0.16128440,0.65504587
11000,2025,1772,7203,0.18409091,0.16109091,0.65481818
11100,2034,1793,7273,0.18324324,0.16153153,0.65522523
11200,2050,1812,7338,0.18303571,0.16178571,0.65517857
11300,2067,1825,7408,0.18292035,0.16150442,0.65557522
11400,2087,1842,7471,0.18307018,0.16157895,0.65535088
11500,2106,1854,7540,0.18313043,0.16121739,0.65565217
11600,2123,1877,7600,0.18301724,0.16181034,0.65517241
11700,2139,1894,7667,0.18282051,0.16188034,0.65529915
11800,2164,1909,7727,0.18338983,0.16177966,0.65483051
11900,2186,1926,7788,0.18369748,0.16184874,0.65445378
12000,2200,1938,7862,0.18333333,0.16150000,0.65516667
12100,2219,1956,7925,0.18338843,0.16165289,0.65495868
12200,2239,1978,7983,0.18352459,0.16213115,0.65434426
12300,2264,1994,8042,0.18406504,0.16211382,0.65382114
12400,2285,2010,8105,0.18427419,0.16209677,0.65362903
12500,2310,2018,8172,0.18480000,0.16144000,0.65376000
12600,2331,2032,8237,0.18500000,0.16126984,0.65373016
12700,2348,2045,8307,0.18488189,0.16102362,0.65409449
12800,2363,2057,8380,0.18460937,0.16070313,0.65468750
12900,2384,2080,8436,0.18480620,0.16124031,0.65395349
13000,2402,2096,8502,0.18476923,0.16123077,0.65400000
13100,2426,2113,8561,0.18519084,0.16129771,0.65351145
13200,2448,2136,8616,0.18545455,0.16181818,0.65272727
13300,2462,2146,8692,0.18511278,0.16135338,0.65353383
13400,2480,2164,8756,0.18507463,0.16149254,0.65343284
13500,2497,2185,8818,0.18496296,0.16185185,0.65318519
13600,2515,2202,8883,0.18492647,0.16191176,0.65316176
13700,2531,2220,8949,0.18474453,0.16204380,0.65321168
13800,2548,2237,9015,0.18463768,0.16210145,0.65326087
13900,2568,2255,9077,0.18474820,0.16223022,0.65302158
14000,2586,2272,9142,0.18471429,0.16228571,0.65300000
14100,2609,2290,9201,0.18503546,0.16241135,0.65255319
14200,2628,2309,9263,0.18507042,0.16260563,0.65232394
14300,2648,2320,9332,0.18517483,0.16223776,0.65258741
14400,2668,2338,9394,0.18527778,0.16236111,0.65236111
14500,2686,2351,9463,0.18524138,0.16213793,0.65262069
14600,2704,2369,9527,0.18520548,0.16226027,0.65253425
14700,2722,2378,9600,0.18517007,0.16176871,0.65306122
14800,2746,2396,9658,0.18554054,0.16189189,0.65256757
14900,2763,2416,9721,0.18543624,0.16214765,0.65241611
15000,2779,2431,9790,0.18526667,0.16206667,0.65266667
15100,2802,2448,9850,0.18556291,0.16211921,0.65231788
15200,2819,2465,9916,0.18546053,0.16217105,0.65236842
15300,2843,2481,9976,0.18581699,0.16215686,0.65202614
15400,2866,2498,10036,0.18610390,0.16220779,0.65168831
15500,2887,2514,10099,0.18625806,0.16219355,0.65154839
15600,2904,2528,10168,0.18615385,0.16205128,0.65179487
15700,2920,2547,10233,0.18598726,0.16222930,0.65178344
15800,2936,2560,10304,0.18582278,0.16202532,0.65215190
15900,2957,2578,10365,0.18597484,0.16213836,0.65188679
16000,2981,2591,10428,0.18631250,0.16193750,0.65175000
16100,2993,2604,10503,0.18590062,0.16173913,0.65236025
16200,3014,2621,10565,0.18604938,0.16179012,0.65216049
16300,3036,2635,10629,0.18625767,0.16165644,0.65208589
16400,3060,2651,10689,0.18658537,0.16164634,0.65176829
16500,3071,2671,10758,0.18612121,0.16187879,0.65200000
16600,3092,2688,10820,0.18626506,0.16192771,0.65180723
16700,3107,2703,10890,0.18604790,0.16185629,0.65209581
16800,3124,2729,10947,0.18595238,0.16244048,0.65160714
16900,3140,2742,11018,0.18579882,0.16224852,0.65195266
17000,3162,2752,11086,0.18600000,0.16188235,0.65211765
17100,3175,2772,11153,0.18567251,0.16210526,0.65222222
17200,3190,2784,11226,0.18546512,0.16186047,0.65267442
17300,3205,2798,11297,0.18526012,0.16173410,0.65300578
17400,3227,2809,11364,0.18545977,0.16143678,0.65310345
17500,3251,2828,11421,0.18577143,0.16160000,0.65262857
17600,3271,2845,11484,0.18585227,0.16164773,0.65250000
17700,3289,2863,11548,0.18581921,0.16175141,0.65242938
17800,3309,2876,11615,0.18589888,0.16157303,0.65252809
17900,3327,2891,11682,0.18586592,0.16150838,0.65262570
18000,3352,2902,11746,0.18622222,0.16122222,0.65255556
18100,3365,2922,11813,0.18591160,0.16143646,0.65265193
18200,3383,2938,11879,0.18587912,0.16142857,0.65269231
18300,3406,2955,11939,0.18612022,0.16147541,0.65240437
18400,3427,2971,12002,0.18625000,0.16146739,0.65228261
18500,3445,2993,12062,0.18621622,0.16178378,0.65200000
18600,3466,3015,12119,0.18634409,0.16209677,0.65155914
18700,3486,3030,12184,0.18641711,0.16203209,0.65155080
18800,3502,3045,12253,0.18627660,0.16196809,0.65175532
18900,3520,3061,12319,0.18624339,0.16195767,0.65179894
19000,3536,3081,12383,0.18610526,0.16215789,0.65173684
19100,3554,3096,12450,0.18607330,0.16209424,0.65183246
19200,3569,3110,12521,0.18588542,0.16197917,0.65213542
19300,3585,3131,12584,0.18575130,0.16222798,0.65202073
19400,3599,3149,12652,0.18551546,0.16231959,0.65216495
19500,3610,3170,12720,0.18512821,0.16256410,0.65230769
19600,3634,3185,12781,0.18540816,0.16250000,0.65209184
19700,3655,3212,12833,0.18553299,0.16304569,0.65142132
19800,3677,3233,12890,0.18570707,0.16328283,0.65101010
19900,3693,3246,12961,0.18557789,0.16311558,0.65130653
20000,3707,3258,13035,0.18535000,0.16290000,0.65175000
20100,3725,3269,13106,0.18532338,0.16263682,0.65203980
20200,3744,3281,13175,0.18534653,0.16242574,0.65222772
20300,3761,3303,13236,0.18527094,0.16270936,0.65201970
20400,3779,3318,13303,0.18524510,0.16264706,0.65210784
20500,3790,3336,13374,0.18487805,0.16273171,0.65239024
20600,3809,3358,13433,0.18490291,0.16300971,0.65208738
20700,3829,3376,13495,0.18497585,0.16309179,0.65193237
20800,3847,3390,13563,0.18495192,0.16298077,0.65206731
20900,3864,3412,13624,0.18488038,0.16325359,0.65186603
21000,3883,3431,13686,0.18490476,0.16338095,0.65171429
21100,3896,3451,13753,0.18464455,0.16355450,0.65180095
21200,3922,3458,13820,0.18500000,0.16311321,0.65188679
21300,3942,3472,13886,0.18507042,0.16300469,0.65192488
21400,3971,3484,13945,0.18556075,0.16280374,0.65163551
21500,3989,3504,14007,0.18553488,0.16297674,0.65148837
21600,4014,3516,14070,0.18583333,0.16277778,0.65138889
21700,4030,3536,14134,0.18571429,0.16294931,0.65133641
21800,4051,3557,14192,0.18582569,0.16316514,0.65100917
21900,4070,3571,14259,0.18584475,0.16305936,0.65109589
22000,4092,3585,14323,0.18600000,0.16295455,0.65104545
22100,4108,3596,14396,0.18588235,0.16271493,0.65140271
22200,4129,3614,14457,0.18599099,0.16279279,0.65121622
22300,4154,3634,14512,0.18627803,0.16295964,0.65076233
22400,4173,3657,14570,0.18629464,0.16325893,0.65044643
22500,4190,3677,14633,0.18622222,0.16342222,0.65035556
22600,4209,3699,14692,0.18623894,0.16367257,0.65008850
22700,4223,3716,14761,0.18603524,0.16370044,0.65026432
22800,4237,3737,14826,0.18583333,0.16390351,0.65026316
22900,4250,3758,14892,0.18558952,0.16410480,0.65030568
23000,4270,3778,14952,0.18565217,0.16426087,0.65008696
23100,4289,3791,15020,0.18567100,0.16411255,0.65021645
23200,4307,3806,15087,0.18564655,0.16405172,0.65030172
23300,4331,3828,15141,0.18587983,0.16429185,0.64982833
23400,4348,3842,15210,0.18581197,0.16418803,0.65000000
23500,4369,3860,15271,0.18591489,0.16425532,0.64982979
23600,4397,3878,15325,0.18631356,0.16432203,0.64936441
23700,4421,3896,15383,0.18654008,0.16438819,0.64907173
23800,4447,3911,15442,0.18684874,0.16432773,0.64882353
23900,4467,3920,15513,0.18690377,0.16401674,0.64907950
24000,4479,3935,15586,0.18662500,0.16395833,0.64941667
24100,4503,3949,15648,0.18684647,0.16385892,0.64929461
24200,4524,3963,15713,0.18694215,0.16376033,0.64929752
24300,4548,3979,15773,0.18716049,0.16374486,0.64909465
24400,4567,3998,15835,0.18717213,0.16385246,0.64897541
24500,4588,4021,15891,0.18726531,0.16412245,0.64861224
24600,4607,4048,15945,0.18727642,0.16455285,0.64817073
24700,4634,4062,16004,0.18761134,0.16445344,0.64793522
24800,4652,4075,16073,0.18758065,0.16431452,0.64810484
24900,4684,4093,16123,0.18811245,0.16437751,0.64751004
25000,4702,4111,16187,0.18808000,0.16444000,0.64748000
25100,4720,4128,16252,0.18804781,0.16446215,0.64749004
25200,4741,4142,16317,0.18813492,0.16436508,0.64750000
25300,4760,4160,16380,0.18814229,0.16442688,0.64743083
25400,4786,4177,16437,0.18842520,0.16444882,0.64712598
25500,4805,4194,16501,0.18843137,0.16447059,0.64709804
25600,4822,4214,16564,0.18835937,0.16460938,0.64703125
25700,4844,4235,16621,0.18848249,0.16478599,0.64673152
25800,4860,4255,16685,0.18837209,0.16492248,0.64670543
25900,4887,4276,16737,0.18868726,0.16509653,0.64621622
26000,4908,4293,16799,0.18876923,0.16511538,0.64611538
26100,4925,4300,16875,0.18869732,0.16475096,0.64655172
26200,4946,4322,16932,0.18877863,0.16496183,0.64625954
26300,4967,4331,17002,0.18885932,0.16467681,0.64646388
26400,4983,4349,17068,0.18875000,0.16473485,0.64651515
26500,5003,4369,17128,0.18879245,0.16486792,0.64633962
26600,5027,4387,17186,0.18898496,0.16492481,0.64609023
26700,5043,4408,17249,0.18887640,0.16509363,0.64602996
26800,5056,4420,17324,0.18865672,0.16492537,0.64641791
26900,5070,4439,17391,0.18847584,0.16501859,0.64650558
27000,5087,4454,17459,0.18840741,0.16496296,0.64662963
27100,5105,4470,17525,0.18837638,0.16494465,0.64667897
27200,5125,4488,17587,0.18841912,0.16500000,0.64658088
27300,5155,4499,17646,0.18882784,0.16479853,0.64637363
27400,5175,4515,17710,0.18886861,0.16478102,0.64635036
27500,5188,4537,17775,0.18865455,0.16498182,0.64636364
27600,5203,4554,17843,0.18851449,0.16500000,0.64648551
27700,5223,4570,17907,0.18855596,0.16498195,0.64646209
27800,5244,4582,17974,0.18863309,0.16482014,0.64654676
27900,5264,4596,18040,0.18867384,0.16473118,0.64659498
28000,5284,4615,18101,0.18871429,0.16482143,0.64646429
28100,5303,4628,18169,0.18871886,0.16469751,0.64658363
28200,5322,4649,18229,0.18872340,0.16485816,0.64641844
28300,5337,4662,18301,0.18858657,0.16473498,0.64667845
28400,5360,4682,18358,0.18873239,0.16485915,0.64640845
28500,5378,4697,18425,0.18870175,0.16480702,0.64649123
28600,5396,4716,18488,0.18867133,0.16489510,0.64643357
28700,5405,4733,18562,0.18832753,0.16491289,0.64675958
28800,5424,4749,18627,0.18833333,0.16489583,0.64677083
28900,5441,4769,18690,0.18826990,0.16501730,0.64671280
29000,5453,4787,18760,0.18803448,0.16506897,0.64689655
29100,5470,4803,18827,0.18797251,0.16505155,0.64697595
29200,5486,4818,18896,0.18787671,0.16500000,0.64712329
29300,5498,4839,18963,0.18764505,0.16515358,0.64720137
29400,5518,4859,19023,0.18768707,0.16527211,0.64704082
29500,5537,4878,19085,0.18769492,0.16535593,0.64694915
29600,5560,4898,19142,0.18783784,0.16547297,0.64668919
29700,5582,4918,19200,0.18794613,0.16558923,0.64646465
29800,5604,4934,19262,0.18805369,0.16557047,0.64637584
29900,5624,4953,19323,0.18809365,0.16565217,0.64625418
30000,5643,4970,19387,0.18810000,0.16566667,0.64623333
30100,5663,4985,19452,0.18813953,0.16561462,0.64624585
