k,r,b,t,r_frac,b_frac,t_frac
100,38,39,23,0.38000000,0.39000000,0.23000000
200,67,79,54,0.33500000,0.39500000,0.27000000
300,94,132,74,0.31333333,0.44000000,0.24666667
400,122,186,92,0.30500000,0.46500000,0.23000000
500,148,233,119,0.29600000,0.46600000,0.23800000
600,179,279,142,0.29833333,0.46500000,0.23666667
700,211,319,170,0.30142857,0.45571429,0.24285714
800,246,359,195,0.30750000,0.44875000,0.24375000
900,275,410,215,0.30555556,0.45555556,0.23888889
1000,309,457,234,0.30900000,0.45700000,0.23400000
1100,341,502,257,0.31000000,0.45636364,0.23363636
1200,369,548,283,0.30750000,0.45666667,0.23583333
1300,400,596,304,0.30769231,0.45846154,0.23384615
1400,432,646,322,0.30857143,0.46142857,0.23000000
1500,459,689,352,0.30600000,0.45933333,0.23466667
1600,491,734,375,0.30687500,0.45875000,0.23437500
1700,519,779,402,0.30529412,0.45823529,0.23647059
1800,545,834,421,0.30277778,0.46333333,0.23388889
1900,572,881,447,0.30105263,0.46368421,0.23526316
2000,601,923,476,0.30050000,0.46150000,0.23800000
2100,630,975,495,0.30000000,0.46428571,0.23571429
2200,652,1032,516,0.29636364,0.46909091,0.23454545
2300,690,1079,531,0.30000000,0.46913043,0.23086957
2400,719,1119,562,0.29958333,0.46625000,0.23416667
2500,741,1169,590,0.29640000,0.46760000,0.23600000
2600,769,1221,610,0.29576923,0.46961538,0.23461538
2700,800,1260,640,0.29629630,0.46666667,0.23703704
2800,820,1316,664,0.29285714,0.47000000,0.23714286
2900,850,1372,678,0.29310345,0.47310345,0.23379310
3000,874,1421,705,0.29133333,0.47366667,0.23500000
3100,905,1469,726,0.29193548,0.47387097,0.23419355
3200,924,1529,747,0.28875000,0.47781250,0.23343750
3300,953,1578,769,0.28878788,0.47818182,0.23303030
3400,981,1628,791,0.28852941,0.47882353,0.23264706
3500,1009,1675,816,0.28828571,0.47857143,0.23314286
3600,1037,1723,840,0.28805556,0.47861111,0.23333333
3700,1073,1762,865,0.29000000,0.47621622,0.23378378
3800,1104,1806,890,0.29052632,0.47526316,0.23421053
3900,1130,1856,914,0.28974359,0.47589744,0.23435897
4000,1158,1909,933,0.28950000,0.47725000,0.23325000
4100,1199,1949,952,0.29243902,0.47536585,0.23219512
4200,1229,1998,973,0.29261905,0.47571429,0.23166667
4300,1248,2051,1001,0.29023256,0.47697674,0.23279070
4400,1279,2096,1025,0.29068182,0.47636364,0.23295455
4500,1314,2138,1048,0.29200000,0.47511111,0.23288889
4600,1343,2190,1067,0.29195652,0.47608696,0.23195652
4700,1370,2232,1098,0.29148936,0.47489362,0.23361702
4800,1396,2280,1124,0.29083333,0.47500000,0.23416667
4900,1426,2318,1156,0.29102041,0.47306122,0.23591837
5000,1460,2355,1185,0.29200000,0.47100000,0.23700000
5100,1487,2402,1211,0.29156863,0.47098039,0.23745098
5200,1520,2448,1232,0.29230769,0.47076923,0.23692308
5300,1555,2491,1254,0.29339623,0.47000000,0.23660377
5400,1586,2533,1281,0.29370370,0.46907407,0.23722222
5500,1614,2580,1306,0.29345455,0.46909091,0.23745455
5600,1647,2624,1329,0.29410714,0.46857143,0.23732143
5700,1684,2664,1352,0.29543860,0.46736842,0.23719298
5800,1712,2710,1378,0.29517241,0.46724138,0.23758621
5900,1741,2757,1402,0.29508475,0.46728814,0.23762712
6000,1768,2809,1423,0.29466667,0.46816667,0.23716667
6100,1788,2862,1450,0.29311475,0.46918033,0.23770492
6200,1821,2905,1474,0.29370968,0.46854839,0.23774194
6300,1852,2948,1500,0.29396825,0.46793651,0.23809524
6400,1888,2988,1524,0.29500000,0.46687500,0.23812500
6500,1922,3037,1541,0.29569231,0.46723077,0.23707692
6600,1950,3086,1564,0.29545455,0.46757576,0.23696970
6700,1976,3128,1596,0.29492537,0.46686567,0.23820896
6800,2003,3178,1619,0.29455882,0.46735294,0.23808824
6900,2035,3216,1649,0.29492754,0.46608696,0.23898551
7000,2062,3271,1667,0.29457143,0.46728571,0.23814286
7100,2097,3313,1690,0.29535211,0.46661972,0.23802817
7200,2130,3356,1714,0.29583333,0.46611111,0.23805556
7300,2148,3407,1745,0.29424658,0.46671233,0.23904110
7400,2184,3452,1764,0.29513514,0.46648649,0.23837838
7500,2219,3492,1789,0.29586667,0.46560000,0.23853333
7600,2249,3546,1805,0.29592105,0.46657895,0.23750000
7700,2276,3591,1833,0.29558442,0.46636364,0.23805195
7800,2302,3647,1851,0.29512821,0.46756410,0.23730769
7900,2337,3693,1870,0.29582278,0.46746835,0.23670886
8000,2369,3743,1888,0.29612500,0.46787500,0.23600000
8100,2402,3781,1917,0.29654321,0.46679012,0.23666667
8200,2436,3822,1942,0.29707317,0.46609756,0.23682927
8300,2465,3877,1958,0.29698795,0.46710843,0.23590361
8400,2494,3921,1985,0.29690476,0.46678571,0.23630952
8500,2525,3965,2010,0.29705882,0.46647059,0.23647059
8600,2548,4016,2036,0.29627907,0.46697674,0.23674419
8700,2578,4059,2063,0.29632184,0.46655172,0.23712644
8800,2603,4114,2083,0.29579545,0.46750000,0.23670455
8900,2636,4162,2102,0.29617978,0.46764045,0.23617978
9000,2669,4214,2117,0.29655556,0.46822222,0.23522222
9100,2691,4256,2153,0.29571429,0.46769231,0.23659341
9200,2718,4303,2179,0.29543478,0.46771739,0.23684783
9300,2752,4344,2204,0.29591398,0.46709677,0.23698925
9400,2782,4392,2226,0.29595745,0.46723404,0.23680851
9500,2813,4435,2252,0.29610526,0.46684211,0.23705263
9600,2841,4483,2276,0.29593750,0.46697917,0.23708333
9700,2877,4526,2297,0.29659794,0.46659794,0.23680412
9800,2908,4564,2328,0.29673469,0.46571429,0.23755102
9900,2940,4613,2347,0.29696970,0.46595960,0.23707071
10000,2975,4652,2373,0.29750000,0.46520000,0.23730000
10100,3008,4696,2396,0.29782178,0.46495050,0.23722772
10200,3037,4750,2413,0.29774510,0.46568627,0.23656863
10300,3067,4797,2436,0.29776699,0.46572816,0.23650485
10400,3089,4850,2461,0.29701923,0.46634615,0.23663462
10500,3120,4892,2488,0.29714286,0.46590476,0.23695238
10600,3155,4941,2504,0.29764151,0.46613208,0.23622642
10700,3189,4985,2526,0.29803738,0.46588785,0.23607477
10800,3222,5031,2547,0.29833333,0.46583333,0.23583333
10900,3257,5072,2571,0.29880734,0.46532110,0.23587156
11000,3291,5112,2597,0.29918182,0.46472727,0.23609091
11100,3324,5159,2617,0.29945946,0.46477477,0.23576577
11200,3357,5203,2640,0.29973214,0.46455357,0.23571429
11300,3391,5247,2662,0.30008850,0.46433628,0.23557522
11400,3426,5289,2685,0.30052632,0.46394737,0.23552632
11500,3456,5336,2708,0.30052174,0.46400000,0.23547826
11600,3491,5389,2720,0.30094828,0.46456897,0.23448276
11700,3521,5436,2743,0.30094017,0.46461538,0.23444444
11800,3555,5484,2761,0.30127119,0.46474576,0.23398305
11900,3586,5527,2787,0.30134454,0.46445378,0.23420168
12000,3618,5578,2804,0.30150000,0.46483333,0.23366667
12100,3653,5620,2827,0.30190083,0.46446281,0.23363636
12200,3677,5671,2852,0.30139344,0.46483607,0.23377049
12300,3705,5718,2877,0.30121951,0.46487805,0.23390244
12400,3740,5762,2898,0.30161290,0.46467742,0.23370968
12500,3769,5816,2915,0.30152000,0.46528000,0.23320000
12600,3797,5863,2940,0.30134921,0.46531746,0.23333333
12700,3826,5905,2969,0.30125984,0.46496063,0.23377953
12800,3853,5956,2991,0.30101563,0.46531250,0.23367188
12900,3887,5997,3016,0.30131783,0.46488372,0.23379845
13000,3912,6055,3033,0.30092308,0.46576923,0.23330769
13100,3937,6105,3058,0.30053435,0.46603053,0.23343511
13200,3971,6154,3075,0.30083333,0.46621212,0.23295455
13300,4000,6200,3100,0.30075188,0.46616541,0.23308271
13400,4028,6250,3122,0.30059701,0.46641791,0.23298507
13500,4056,6301,3143,0.30044444,0.46674074,0.23281481
13600,4088,6345,3167,0.30058824,0.46654412,0.23286765
13700,4120,6382,3198,0.30072993,0.46583942,0.23343066
13800,4156,6428,3216,0.30115942,0.46579710,0.23304348
13900,4186,6474,3240,0.30115108,0.46575540,0.23309353
14000,4211,6526,3263,0.30078571,0.46614286,0.23307143
