k,r,b,t,r_frac,b_frac,t_frac
100,22,21,57,0.22000000,0.21000000,0.57000000
200,46,43,111,0.23000000,0.21500000,0.55500000
300,66,60,174,0.22000000,0.20000000,0.58000000
400,89,73,238,0.22250000,0.18250000,0.59500000
500,109,95,296,0.21800000,0.19000000,0.59200000
600,136,110,354,0.22666667,0.18333333,0.59000000
700,161,130,409,0.23000000,0.18571429,0.58428571
800,182,148,470,0.22750000,0.18500000,0.58750000
900,203,163,534,0.22555556,0.18111111,0.59333333
1000,220,187,593,0.22000000,0.18700000,0.59300000
1100,238,206,656,0.21636364,0.18727273,0.59636364
1200,258,223,719,0.21500000,0.18583333,0.59916667
1300,280,240,780,0.21538462,0.18461538,0.60000000
1400,302,254,844,0.21571429,0.18142857,0.60285714
1500,320,272,908,0.21333333,0.18133333,0.60533333
1600,345,294,961,0.21562500,0.18375000,0.60062500
1700,362,316,1022,0.21294118,0.18588235,0.60117647
1800,385,330,1085,0.21388889,0.18333333,0.60277778
1900,411,345,1144,0.21631579,0.18157895,0.60210526
2000,439,365,1196,0.21950000,0.18250000,0.59800000
2100,460,390,1250,0.21904762,0.18571429,0.59523810
2200,482,403,1315,0.21909091,0.18318182,0.59772727
2300,501,421,1378,0.21782609,0.18304348,0.59913043
2400,517,444,1439,0.21541667,0.18500000,0.59958333
2500,535,457,1508,0.21400000,0.18280000,0.60320000
2600,561,471,1568,0.21576923,0.18115385,0.60307692
2700,585,490,1625,0.21666667,0.18148148,0.60185185
2800,601,510,1689,0.21464286,0.18214286,0.60321429
2900,625,530,1745,0.21551724,0.18275862,0.60172414
3000,642,548,1810,0.21400000,0.18266667,0.60333333
3100,670,566,1864,0.21612903,0.18258065,0.60129032
3200,685,580,1935,0.21406250,0.18125000,0.60468750
3300,709,598,1993,0.21484848,0.18121212,0.60393939
3400,731,619,2050,0.21500000,0.18205882,0.60294118
3500,757,639,2104,0.21628571,0.18257143,0.60114286
3600,777,658,2165,0.21583333,0.18277778,0.60138889
3700,798,677,2225,0.21567568,0.18297297,0.60135135
3800,819,705,2276,0.21552632,0.18552632,0.59894737
3900,841,717,2342,0.21564103,0.18384615,0.60051282
4000,866,730,2404,0.21650000,0.18250000,0.60100000
