k,r,b,t,r_frac,b_frac,t_frac
100,26,30,44,0.26000000,0.30000000,0.44000000
200,56,52,92,0.28000000,0.26000000,0.46000000
300,81,85,134,0.27000000,0.28333333,0.44666667
400,99,115,186,0.24750000,0.28750000,0.46500000
500,130,135,235,0.26000000,0.27000000,0.47000000
600,158,164,278,0.26333333,0.27333333,0.46333333
700,181,188,331,0.25857143,0.26857143,0.47285714
800,203,217,380,0.25375000,0.27125000,0.47500000
900,225,243,432,0.25000000,0.27000000,0.48000000
1000,248,270,482,0.24800000,0.27000000,0.48200000
1100,276,292,532,0.25090909,0.26545455,0.48363636
1200,310,311,579,0.25833333,0.25916667,0.48250000
1300,329,344,627,0.25307692,0.26461538,0.48230769
1400,354,369,677,0.25285714,0.26357143,0.48357143
1500,381,395,724,0.25400000,0.26333333,0.48266667
1600,415,421,764,0.25937500,0.26312500,0.47750000
1700,440,445,815,0.25882353,0.26176471,0.47941176
1800,461,475,864,0.25611111,0.26388889,0.48000000
1900,480,504,916,0.25263158,0.26526316,0.48210526
2000,506,528,966,0.25300000,0.26400000,0.48300000
2100,538,553,1009,0.25619048,0.26333333,0.48047619
2200,561,578,1061,0.25500000,0.26272727,0.48227273
2300,584,605,1111,0.25391304,0.26304348,0.48304348
2400,611,634,1155,0.25458333,0.26416667,0.48125000
2500,629,664,1207,0.25160000,0.26560000,0.48280000
2600,652,691,1257,0.25076923,0.26576923,0.48346154
2700,677,719,1304,0.25074074,0.26629630,0.48296296
2800,700,751,1349,0.25000000,0.26821429,0.48178571
2900,725,780,1395,0.25000000,0.26896552,0.48103448
3000,752,806,1442,0.25066667,0.26866667,0.48066667
3100,778,829,1493,0.25096774,0.26741935,0.48161290
3200,805,849,1546,0.25156250,0.26531250,0.48312500
3300,829,872,1599,0.25121212,0.26424242,0.48454545
3400,843,905,1652,0.24794118,0.26617647,0.48588235
3500,871,931,1698,0.24885714,0.26600000,0.48514286
3600,899,966,1735,0.24972222,0.26833333,0.48194444
