k,r,b,t,r_frac,b_frac,t_frac
100,27,31,42,0.27000000,0.31000000,0.42000000
200,53,61,86,0.26500000,0.30500000,0.43000000
300,77,96,127,0.25666667,0.32000000,0.42333333
400,99,124,177,0.24750000,0.31000000,0.44250000
500,130,153,217,0.26000000,0.30600000,0.43400000
600,158,183,259,0.26333333,0.30500000,0.43166667
700,181,215,304,0.25857143,0.30714286,0.43428571
800,201,245,354,0.25125000,0.30625000,0.44250000
900,228,278,394,0.25333333,0.30888889,0.43777778
1000,256,302,442,0.25600000,0.30200000,0.44200000
1100,285,322,493,0.25909091,0.29272727,0.44818182
1200,308,358,534,0.25666667,0.29833333,0.44500000
1300,333,383,584,0.25615385,0.29461538,0.44923077
1400,365,411,624,0.26071429,0.29357143,0.44571429
1500,392,439,669,0.26133333,0.29266667,0.44600000
1600,420,472,708,0.26250000,0.29500000,0.44250000
1700,441,507,752,0.25941176,0.29823529,0.44235294
1800,463,538,799,0.25722222,0.29888889,0.44388889
1900,493,564,843,0.25947368,0.29684211,0.44368421
2000,522,593,885,0.26100000,0.29650000,0.44250000
2100,552,617,931,0.26285714,0.29380952,0.44333333
2200,581,644,975,0.26409091,0.29272727,0.44318182
2300,603,677,1020,0.26217391,0.29434783,0.44347826
2400,622,708,1070,0.25916667,0.29500000,0.44583333
2500,648,738,1114,0.25920000,0.29520000,0.44560000
2600,669,775,1156,0.25730769,0.29807692,0.44461538
2700,702,797,1201,0.26000000,0.29518519,0.44481481
2800,726,831,1243,0.25928571,0.29678571,0.44392857
2900,759,855,1286,0.26172414,0.29482759,0.44344828
3000,785,885,1330,0.26166667,0.29500000,0.44333333
3100,803,914,1383,0.25903226,0.29483871,0.44612903
3200,821,946,1433,0.25656250,0.29562500,0.44781250
3300,848,986,1466,0.25696970,0.29878788,0.44424242
3400,877,1018,1505,0.25794118,0.29941176,0.44264706
3500,898,1052,1550,0.25657143,0.30057143,0.44285714
3600,913,1085,1602,0.25361111,0.30138889,0.44500000
3700,940,1116,1644,0.25405405,0.30162162,0.44432432
3800,966,1146,1688,0.25421053,0.30157895,0.44421053
3900,991,1182,1727,0.25410256,0.30307692,0.44282051
4000,1013,1211,1776,0.25325000,0.30275000,0.44400000
4100,1029,1251,1820,0.25097561,0.30512195,0.44390244
4200,1057,1278,1865,0.25166667,0.30428571,0.44404762
4300,1075,1313,1912,0.25000000,0.30534884,0.44465116
4400,1095,1348,1957,0.24886364,0.30636364,0.44477273
4500,1126,1372,2002,0.25022222,0.30488889,0.44488889
4600,1145,1405,2050,0.24891304,0.30543478,0.44565217
4700,1162,1441,2097,0.24723404,0.30659574,0.44617021
4800,1183,1468,2149,0.24645833,0.30583333,0.44770833
4900,1208,1503,2189,0.24653061,0.30673469,0.44673469
5000,1227,1546,2227,0.24540000,0.30920000,0.44540000
5100,1251,1572,2277,0.24529412,0.30823529,0.44647059
5200,1275,1609,2316,0.24519231,0.30942308,0.44538462
5300,1304,1635,2361,0.24603774,0.30849057,0.44547170
5400,1329,1662,2409,0.24611111,0.30777778,0.44611111
5500,1352,1696,2452,0.24581818,0.30836364,0.44581818
