k,r,b,t,r_frac,b_frac,t_frac
100,29,39,32,0.29000000,0.39000000,0.32000000
200,57,77,66,0.28500000,0.38500000,0.33000000
300,82,117,101,0.27333333,0.39000000,0.33666667
400,115,152,133,0.28750000,0.38000000,0.33250000
500,145,192,163,0.29000000,0.38400000,0.32600000
600,170,230,200,0.28333333,0.38333333,0.33333333
700,198,262,240,0.28285714,0.37428571,0.34285714
800,225,293,282,0.28125000,0.36625000,0.35250000
900,254,320,326,0.28222222,0.35555556,0.36222222
1000,284,348,368,0.28400000,0.34800000,0.36800000
1100,316,389,395,0.28727273,0.35363636,0.35909091
1200,344,424,432,0.28666667,0.35333333,0.36000000
1300,377,460,463,0.29000000,0.35384615,0.35615385
1400,403,500,497,0.28785714,0.35714286,0.35500000
1500,425,534,541,0.28333333,0.35600000,0.36066667
1600,455,562,583,0.28437500,0.35125000,0.36437500
1700,487,599,614,0.28647059,0.35235294,0.36117647
1800,515,625,660,0.28611111,0.34722222,0.36666667
1900,544,662,694,0.28631579,0.34842105,0.36526316
2000,570,695,735,0.28500000,0.34750000,0.36750000
2100,597,733,770,0.28428571,0.34904762,0.36666667
2200,619,778,803,0.28136364,0.35363636,0.36500000
2300,648,811,841,0.28173913,0.35260870,0.36565217
2400,678,842,880,0.28250000,0.35083333,0.36666667
2500,708,871,921,0.28320000,0.34840000,0.36840000
2600,733,907,960,0.28192308,0.34884615,0.36923077
2700,753,953,994,0.27888889,0.35296296,0.36814815
2800,788,994,1018,0.28142857,0.35500000,0.36357143
2900,818,1031,1051,0.28206897,0.35551724,0.36241379
3000,836,1069,1095,0.27866667,0.35633333,0.36500000
3100,856,1109,1135,0.27612903,0.35774194,0.36612903
3200,885,1147,1168,0.27656250,0.35843750,0.36500000
3300,914,1185,1201,0.27696970,0.35909091,0.36393939
3400,942,1218,1240,0.27705882,0.35823529,0.36470588
3500,958,1261,1281,0.27371429,0.36028571,0.36600000
3600,984,1310,1306,0.27333333,0.36388889,0.36277778
3700,1004,1347,1349,0.27135135,0.36405405,0.36459459
3800,1036,1381,1383,0.27263158,0.36342105,0.36394737
3900,1060,1418,1422,0.27179487,0.36358974,0.36461538
4000,1078,1465,1457,0.26950000,0.36625000,0.36425000
4100,1103,1502,1495,0.26902439,0.36634146,0.36463415
4200,1131,1540,1529,0.26928571,0.36666667,0.36404762
4300,1158,1581,1561,0.26930233,0.36767442,0.36302326
4400,1187,1621,1592,0.26977273,0.36840909,0.36181818
4500,1218,1654,1628,0.27066667,0.36755556,0.36177778
4600,1248,1683,1669,0.27130435,0.36586957,0.36282609
4700,1274,1722,1704,0.27106383,0.36638298,0.36255319
4800,1296,1757,1747,0.27000000,0.36604167,0.36395833
4900,1320,1801,1779,0.26938776,0.36755102,0.36306122
5000,1349,1835,1816,0.26980000,0.36700000,0.36320000
5100,1383,1860,1857,0.27117647,0.36470588,0.36411765
5200,1404,1906,1890,0.27000000,0.36653846,0.36346154
5300,1425,1947,1928,0.26886792,0.36735849,0.36377358
5400,1448,1982,1970,0.26814815,0.36703704,0.36481481
5500,1475,2017,2008,0.26818182,0.36672727,0.36509091
5600,1507,2049,2044,0.26910714,0.36589286,0.36500000
