k,r,b,t,r_frac,b_frac,t_frac
100,34,36,30,0.34000000,0.36000000,0.30000000
200,59,80,61,0.29500000,0.40000000,0.30500000
300,83,130,87,0.27666667,0.43333333,0.29000000
400,117,174,109,0.29250000,0.43500000,0.27250000
500,143,216,141,0.28600000,0.43200000,0.28200000
600,171,260,169,0.28500000,0.43333333,0.28166667
700,202,303,195,0.28857143,0.43285714,0.27857143
800,234,332,234,0.29250000,0.41500000,0.29250000
900,260,382,258,0.28888889,0.42444444,0.28666667
1000,294,426,280,0.29400000,0.42600000,0.28000000
1100,330,470,300,0.30000000,0.42727273,0.27272727
1200,355,514,331,0.29583333,0.42833333,0.27583333
1300,382,556,362,0.29384615,0.42769231,0.27846154
1400,412,595,393,0.29428571,0.42500000,0.28071429
1500,444,639,417,0.29600000,0.42600000,0.27800000
1600,470,677,453,0.29375000,0.42312500,0.28312500
1700,501,721,478,0.29470588,0.42411765,0.28117647
1800,525,765,510,0.29166667,0.42500000,0.28333333
1900,555,811,534,0.29210526,0.42684211,0.28105263
2000,581,861,558,0.29050000,0.43050000,0.27900000
2100,611,893,596,0.29095238,0.42523810,0.28380952
2200,641,935,624,0.29136364,0.42500000,0.28363636
2300,661,995,644,0.28739130,0.43260870,0.28000000
2400,692,1040,668,0.28833333,0.43333333,0.27833333
2500,726,1080,694,0.29040000,0.43200000,0.27760000
2600,748,1122,730,0.28769231,0.43153846,0.28076923
2700,773,1167,760,0.28629630,0.43222222,0.28148148
2800,799,1216,785,0.28535714,0.43428571,0.28035714
2900,828,1254,818,0.28551724,0.43241379,0.28206897
3000,850,1304,846,0.28333333,0.43466667,0.28200000
3100,877,1355,868,0.28290323,0.43709677,0.28000000
3200,899,1405,896,0.28093750,0.43906250,0.28000000
3300,933,1454,913,0.28272727,0.44060606,0.27666667
3400,955,1501,944,0.28088235,0.44147059,0.27764706
3500,977,1549,974,0.27914286,0.44257143,0.27828571
3600,1009,1591,1000,0.28027778,0.44194444,0.27777778
3700,1036,1643,1021,0.28000000,0.44405405,0.27594595
3800,1061,1688,1051,0.27921053,0.44421053,0.27657895
3900,1095,1723,1082,0.28076923,0.44179487,0.27743590
4000,1126,1764,1110,0.28150000,0.44100000,0.27750000
4100,1153,1809,1138,0.28121951,0.44121951,0.27756098
4200,1182,1853,1165,0.28142857,0.44119048,0.27738095
4300,1208,1901,1191,0.28093023,0.44209302,0.27697674
4400,1247,1933,1220,0.28340909,0.43931818,0.27727273
4500,1276,1979,1245,0.28355556,0.43977778,0.27666667
4600,1294,2030,1276,0.28130435,0.44130435,0.27739130
4700,1320,2072,1308,0.28085106,0.44085106,0.27829787
4800,1353,2111,1336,0.28187500,0.43979167,0.27833333
4900,1388,2150,1362,0.28326531,0.43877551,0.27795918
5000,1416,2197,1387,0.28320000,0.43940000,0.27740000
5100,1436,2242,1422,0.28156863,0.43960784,0.27882353
5200,1469,2281,1450,0.28250000,0.43865385,0.27884615
5300,1503,2309,1488,0.28358491,0.43566038,0.28075472
5400,1531,2352,1517,0.28351852,0.43555556,0.28092593
5500,1556,2397,1547,0.28290909,0.43581818,0.28127273
5600,1592,2430,1578,0.28428571,0.43392857,0.28178571
5700,1627,2475,1598,0.28543860,0.43421053,0.28035088
5800,1656,2513,1631,0.28551724,0.43327586,0.28120690
5900,1687,2556,1657,0.28593220,0.43322034,0.28084746
6000,1717,2601,1682,0.28616667,0.43350000,0.28033333
6100,1748,2632,1720,0.28655738,0.43147541,0.28196721
6200,1775,2680,1745,0.28629032,0.43225806,0.28145161
6300,1806,2729,1765,0.28666667,0.43317460,0.28015873
6400,1836,2774,1790,0.28687500,0.43343750,0.27968750
6500,1858,2823,1819,0.28584615,0.43430769,0.27984615
6600,1891,2867,1842,0.28651515,0.43439394,0.27909091
6700,1918,2907,1875,0.28626866,0.43388060,0.27985075
6800,1953,2940,1907,0.28720588,0.43235294,0.28044118
6900,1983,2984,1933,0.28739130,0.43246377,0.28014493
7000,2012,3033,1955,0.28742857,0.43328571,0.27928571
7100,2040,3070,1990,0.28732394,0.43239437,0.28028169
7200,2071,3109,2020,0.28763889,0.43180556,0.28055556
7300,2092,3151,2057,0.28657534,0.43164384,0.28178082
7400,2125,3183,2092,0.28716216,0.43013514,0.28270270
7500,2152,3240,2108,0.28693333,0.43200000,0.28106667
7600,2188,3278,2134,0.28789474,0.43131579,0.28078947
7700,2219,3314,2167,0.28818182,0.43038961,0.28142857
7800,2243,3356,2201,0.28756410,0.43025641,0.28217949
7900,2278,3398,2224,0.28835443,0.43012658,0.28151899
8000,2310,3437,2253,0.28875000,0.42962500,0.28162500
8100,2341,3480,2279,0.28901235,0.42962963,0.28135802
8200,2371,3526,2303,0.28914634,0.43000000,0.28085366
8300,2398,3575,2327,0.28891566,0.43072289,0.28036145
8400,2430,3619,2351,0.28928571,0.43083333,0.27988095
8500,2458,3668,2374,0.28917647,0.43152941,0.27929412
8600,2492,3711,2397,0.28976744,0.43151163,0.27872093
8700,2526,3748,2426,0.29034483,0.43080460,0.27885057
8800,2557,3788,2455,0.29056818,0.43045455,0.27897727
8900,2592,3832,2476,0.29123596,0.43056180,0.27820225
9000,2620,3872,2508,0.29111111,0.43022222,0.27866667
9100,2648,3911,2541,0.29098901,0.42978022,0.27923077
9200,2673,3957,2570,0.29054348,0.43010870,0.27934783
9300,2701,4002,2597,0.29043011,0.43032258,0.27924731
9400,2729,4048,2623,0.29031915,0.43063830,0.27904255
9500,2760,4099,2641,0.29052632,0.43147368,0.27800000
9600,2794,4143,2663,0.29104167,0.43156250,0.27739583
9700,2816,4181,2703,0.29030928,0.43103093,0.27865979
9800,2844,4226,2730,0.29020408,0.43122449,0.27857143
9900,2873,4267,2760,0.29020202,0.43101010,0.27878788
10000,2905,4310,2785,0.29050000,0.43100000,0.27850000
10100,2936,4350,2814,0.29069307,0.43069307,0.27861386
10200,2967,4397,2836,0.29088235,0.43107843,0.27803922
10300,2992,4440,2868,0.29048544,0.43106796,0.27844660
10400,3030,4475,2895,0.29134615,0.43028846,0.27836538
10500,3058,4513,2929,0.29123810,0.42980952,0.27895238
10600,3098,4547,2955,0.29226415,0.42896226,0.27877358
10700,3126,4591,2983,0.29214953,0.42906542,0.27878505
10800,3162,4632,3006,0.29277778,0.42888889,0.27833333
10900,3185,4687,3028,0.29220183,0.43000000,0.27779817
